Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Spannung, Ch B (V) Messreihe #1	Zeit (s) Messreihe #2	Spannung, Ch A (V) Messreihe #2	Spannung, Ch B (V) Messreihe #2	Zeit (s) Messreihe #3	Spannung, Ch A (V) Messreihe #3	Spannung, Ch B (V) Messreihe #3	Zeit (s) Messreihe #4	Spannung, Ch A (V) Messreihe #4	Spannung, Ch B (V) Messreihe #4	Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5	Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6	Zeit (s) Messreihe #7	Spannung, Ch A (V) Messreihe #7	Spannung, Ch B (V) Messreihe #7	Zeit (s) Messreihe #8	Spannung, Ch A (V) Messreihe #8	Spannung, Ch B (V) Messreihe #8	Zeit (s) Messreihe #9	Spannung, Ch A (V) Messreihe #9	Spannung, Ch B (V) Messreihe #9	Zeit (s) Messreihe #10	Spannung, Ch A (V) Messreihe #10	Spannung, Ch B (V) Messreihe #10	Zeit (s) Messreihe #11	Spannung, Ch A (V) Messreihe #11	Spannung, Ch B (V) Messreihe #11	Zeit (s) Messreihe #12	Spannung, Ch A (V) Messreihe #12	Spannung, Ch B (V) Messreihe #12	Zeit (s) Messreihe #13	Spannung, Ch A (V) Messreihe #13	Spannung, Ch B (V) Messreihe #13	Zeit (s) Messreihe #14	Spannung, Ch A (V) Messreihe #14	Spannung, Ch B (V) Messreihe #14	Zeit (s) Messreihe #15	Spannung, Ch A (V) Messreihe #15	Spannung, Ch B (V) Messreihe #15	Zeit (s) Messreihe #16	Spannung, Ch A (V) Messreihe #16	Spannung, Ch B (V) Messreihe #16	Zeit (s) Messreihe #17	Spannung, Ch A (V) Messreihe #17	Spannung, Ch B (V) Messreihe #17
7,700	1,969	1,067	3,080	0,744	0,046	3,080	0,024	0,036	3,080	1,126	0,087	3,080	0,621	0,043	3,080	0,130	0,618	3,080	0,076	0,655	3,080	0,091	0,733	3,080	0,093	0,655	3,080	0,099	0,681	3,080	0,073	0,670	3,080	0,075	0,707	3,080	0,076	0,640	3,080	0,095	0,754	3,080	0,091	0,747	1,540	0,077	0,338	3,080	0,077	0,694
7,750	1,983	0,979	3,100	0,750	0,046	3,100	0,030	0,038	3,100	1,132	0,088	3,100	0,626	0,043	3,100	0,134	0,623	3,100	0,076	0,661	3,100	0,092	0,738	3,100	0,095	0,661	3,100	0,099	0,686	3,100	0,074	0,676	3,100	0,077	0,713	3,100	0,075	0,644	3,100	0,100	0,760	3,100	0,082	0,748	1,550	0,013	0,340	3,100	0,076	0,698
7,800	1,998	0,998	3,120	0,755	0,046	3,120	0,036	0,040	3,120	1,138	0,090	3,120	0,633	0,043	3,120	0,166	0,629	3,120	0,073	0,665	3,120	0,091	0,741	3,120	0,096	0,666	3,120	0,100	0,692	3,120	0,074	0,681	3,120	0,076	0,717	3,120	0,078	0,650	3,120	0,101	0,765	3,120	0,093	0,755	1,560	0,076	0,343	3,120	0,082	0,705
7,850	2,012	0,911	3,140	0,761	0,046	3,140	0,042	0,041	3,140	1,144	0,091	3,140	0,639	0,043	3,140	0,136	0,634	3,140	0,074	0,670	3,140	0,098	0,747	3,140	0,099	0,672	3,140	0,101	0,696	3,140	0,075	0,686	3,140	0,080	0,722	3,140	0,076	0,655	3,140	0,108	0,772	3,140	0,093	0,759	1,570	0,018	0,346	3,140	0,082	0,711
7,900	2,027	0,922	3,160	0,767	0,046	3,160	0,047	0,041	3,160	1,150	0,093	3,160	0,644	0,042	3,160	0,119	0,639	3,160	0,074	0,675	3,160	0,095	0,750	3,160	0,079	0,676	3,160	0,103	0,702	3,160	0,076	0,692	3,160	0,083	0,727	3,160	0,076	0,660	3,160	0,110	0,777	3,160	0,098	0,764	1,580	0,083	0,349	3,160	0,082	0,716
7,950	2,042	0,829	3,180	0,773	0,046	3,180	0,053	0,042	3,180	1,156	0,095	3,180	0,651	0,043	3,180	0,115	0,645	3,180	0,073	0,681	3,180	0,098	0,754	3,180	0,098	0,682	3,180	0,104	0,707	3,180	0,078	0,697	3,180	0,084	0,731	3,180	0,076	0,666	3,180	0,115	0,782	3,180	0,103	0,771	1,590	0,020	0,351	3,180	0,081	0,720
8,000	2,057	0,844	3,200	0,779	0,046	3,200	0,059	0,042	3,200	1,162	0,096	3,200	0,656	0,043	3,200	0,112	0,649	3,200	0,069	0,686	3,200	0,099	0,757	3,200	0,103	0,687	3,200	0,106	0,713	3,200	0,080	0,703	3,200	0,086	0,737	3,200	0,076	0,672	3,200	0,119	0,788	3,200	0,108	0,777	1,600	0,083	0,354	3,200	0,085	0,725
8,050	2,071	0,753	3,220	0,785	0,046	3,220	0,066	0,043	3,220	1,168	0,098	3,220	0,663	0,043	3,220	0,114	0,655	3,220	0,095	0,691	3,220	0,107	0,763	3,220	0,107	0,692	3,220	0,107	0,718	3,220	0,080	0,708	3,220	0,090	0,742	3,220	0,077	0,677	3,220	0,125	0,793	3,220	0,107	0,781	1,610	0,021	0,357	3,220	0,090	0,730
8,100	2,086	0,767	3,240	0,791	0,046	3,240	0,072	0,042	3,240	1,174	0,100	3,240	0,669	0,043	3,240	0,116	0,660	3,240	0,052	0,696	3,240	0,114	0,769	3,240	0,112	0,699	3,240	0,110	0,723	3,240	0,082	0,713	3,240	0,091	0,747	3,240	0,078	0,682	3,240	0,132	0,799	3,240	0,112	0,785	1,620	0,083	0,359	3,240	0,093	0,737
8,150	2,101	0,677	3,260	0,797	0,041	3,260	0,078	0,043	3,260	1,179	0,101	3,260	0,675	0,042	3,260	0,107	0,666	3,260	0,071	0,702	3,260	0,121	0,775	3,260	0,114	0,703	3,260	0,111	0,729	3,260	0,085	0,719	3,260	0,096	0,753	3,260	0,079	0,688	3,260	0,135	0,805	3,260	0,116	0,790	1,630	0,022	0,362	3,260	0,097	0,743
8,200	2,115	0,691	3,280	0,803	0,045	3,280	0,084	0,043	3,280	1,185	0,103	3,280	0,680	0,043	3,280	0,102	0,671	3,280	0,075	0,707	3,280	0,121	0,780	3,280	0,119	0,709	3,280	0,115	0,734	3,280	0,087	0,724	3,280	0,099	0,758	3,280	0,080	0,693	3,280	0,140	0,809	3,280	0,121	0,794	1,640	0,085	0,364	3,280	0,099	0,748
8,250	2,130	0,602	3,300	0,809	0,046	3,300	0,090	0,043	3,300	1,191	0,105	3,300	0,686	0,043	3,300	0,102	0,677	3,300	0,076	0,713	3,300	0,122	0,783	3,300	0,123	0,714	3,300	0,118	0,739	3,300	0,089	0,729	3,300	0,103	0,764	3,300	0,082	0,698	3,300	0,148	0,816	3,300	0,117	0,798	1,650	0,025	0,367	3,300	0,100	0,753
8,300	2,145	0,612	3,320	0,815	0,046	3,320	0,096	0,043	3,320	1,197	0,107	3,320	0,693	0,043	3,320	0,100	0,682	3,320	0,077	0,718	3,320	0,130	0,790	3,320	0,128	0,719	3,320	0,122	0,745	3,320	0,091	0,734	3,320	0,107	0,769	3,320	0,083	0,703	3,320	0,154	0,821	3,320	0,129	0,802	1,660	0,088	0,370	3,320	0,105	0,759
8,350	2,159	0,524	3,340	0,821	0,047	3,340	0,101	0,043	3,340	1,203	0,108	3,340	0,699	0,027	3,340	0,100	0,687	3,340	0,078	0,724	3,340	0,129	0,792	3,340	0,133	0,725	3,340	0,125	0,750	3,340	0,094	0,740	3,340	0,111	0,775	3,340	0,084	0,708	3,340	0,161	0,826	3,340	0,136	0,807	1,670	0,027	0,373	3,340	0,107	0,764
8,400	2,174	0,537	3,360	0,826	0,047	3,360	0,108	0,044	3,360	1,209	0,155	3,360	0,705	0,041	3,360	0,099	0,692	3,360	0,080	0,729	3,360	0,136	0,797	3,360	0,139	0,730	3,360	0,128	0,755	3,360	0,097	0,745	3,360	0,115	0,780	3,360	0,086	0,714	3,360	0,166	0,830	3,360	0,142	0,814	1,680	0,090	0,375	3,360	0,111	0,769
8,450	2,188	0,452	3,380	0,833	0,049	3,380	0,113	0,043	3,380	1,214	0,126	3,380	0,711	0,042	3,380	0,097	0,698	3,380	0,081	0,735	3,380	0,146	0,804	3,380	0,146	0,736	3,380	0,133	0,761	3,380	0,100	0,750	3,380	0,119	0,785	3,380	0,088	0,719	3,380	0,174	0,836	3,380	0,145	0,817	1,690	0,027	0,377	3,380	0,118	0,774
8,500	2,202	0,466	3,400	0,838	0,050	3,400	0,119	0,044	3,400	1,221	0,116	3,400	0,716	0,042	3,400	0,098	0,703	3,400	0,084	0,740	3,400	0,151	0,809	3,400	0,151	0,741	3,400	0,137	0,766	3,400	0,104	0,756	3,400	0,125	0,790	3,400	0,091	0,725	3,400	0,181	0,841	3,400	0,146	0,820	1,700	0,091	0,380	3,400	0,121	0,780
8,550	2,217	0,382	3,420	0,844	0,052	3,420	0,125	0,044	3,420	1,226	0,116	3,420	0,723	0,042	3,420	0,096	0,709	3,420	0,083	0,744	3,420	0,153	0,813	3,420	0,158	0,746	3,420	0,142	0,772	3,420	0,106	0,761	3,420	0,130	0,796	3,420	0,093	0,730	3,420	0,189	0,846	3,420	0,159	0,827	1,710	0,031	0,383	3,420	0,125	0,785
8,600	2,232	0,401	3,440	0,850	0,054	3,440	0,131	0,044	3,440	1,232	0,118	3,440	0,729	0,043	3,440	0,097	0,713	3,440	0,087	0,750	3,440	0,165	0,819	3,440	0,166	0,752	3,440	0,148	0,777	3,440	0,111	0,767	3,440	0,136	0,802	3,440	0,096	0,735	3,440	0,199	0,852	3,440	0,162	0,831	1,720	0,094	0,385	3,440	0,130	0,790
8,650	2,246	0,314	3,460	0,856	0,057	3,460	0,137	0,044	3,460	1,238	0,120	3,460	0,734	0,043	3,460	0,093	0,717	3,460	0,090	0,755	3,460	0,173	0,825	3,460	0,174	0,758	3,460	0,153	0,782	3,460	0,115	0,772	3,460	0,141	0,807	3,460	0,099	0,741	3,460	0,207	0,857	3,460	0,166	0,836	1,730	0,034	0,388	3,460	0,137	0,796
8,700	2,261	0,326	3,480	0,862	0,060	3,480	0,144	0,044	3,480	1,244	0,123	3,480	0,741	0,043	3,480	0,095	0,722	3,480	0,091	0,761	3,480	0,177	0,830	3,480	0,181	0,762	3,480	0,158	0,787	3,480	0,119	0,777	3,480	0,146	0,811	3,480	0,101	0,746	3,480	0,216	0,863	3,480	0,173	0,839	1,740	0,099	0,391	3,480	0,141	0,801
8,750	2,276	0,244	3,500	0,868	0,064	3,500	0,149	0,044	3,500	1,250	0,125	3,500	0,747	0,044	3,500	0,097	0,728	3,500	0,094	0,766	3,500	0,187	0,835	3,500	0,213	0,768	3,500	0,165	0,793	3,500	0,124	0,783	3,500	0,154	0,817	3,500	0,105	0,752	3,500	0,225	0,867	3,500	0,184	0,845	1,750	0,036	0,393	3,500	0,146	0,805
8,800	2,290	0,253	3,520	0,874	0,068	3,520	0,155	0,044	3,520	1,255	0,126	3,520	0,753	0,043	3,520	0,097	0,733	3,520	0,097	0,771	3,520	0,194	0,840	3,520	0,228	0,773	3,520	0,171	0,798	3,520	0,129	0,788	3,520	0,153	0,820	3,520	0,108	0,757	3,520	0,237	0,874	3,520	0,180	0,848	1,760	0,099	0,396	3,520	0,152	0,810
8,850	2,305	0,171	3,540	0,880	0,071	3,540	0,162	0,044	3,540	1,261	0,128	3,540	0,759	0,043	3,540	0,098	0,738	3,540	0,084	0,776	3,540	0,203	0,845	3,540	0,216	0,778	3,540	0,178	0,803	3,540	0,134	0,793	3,540	0,163	0,825	3,540	0,113	0,763	3,540	0,245	0,879	3,540	0,204	0,855	1,770	0,038	0,399	3,540	0,157	0,815
8,900	2,320	0,178	3,560	0,885	0,073	3,560	0,167	0,044	3,560	1,267	0,130	3,560	0,765	0,044	3,560	0,099	0,744	3,560	0,102	0,782	3,560	0,213	0,850	3,560	0,225	0,784	3,560	0,185	0,809	3,560	0,140	0,799	3,560	0,171	0,830	3,560	0,116	0,767	3,560	0,254	0,884	3,560	0,164	0,850	1,780	0,103	0,401	3,560	0,164	0,820
8,950	2,334	0,090	3,580	0,892	0,077	3,580	0,173	0,044	3,580	1,272	0,132	3,580	0,771	0,044	3,580	0,071	0,749	3,580	0,105	0,787	3,580	0,227	0,856	3,580	0,235	0,789	3,580	0,193	0,814	3,580	0,146	0,804	3,580	0,178	0,835	3,580	0,121	0,773	3,580	0,264	0,889	3,580	0,189	0,851	1,790	0,041	0,404	3,580	0,173	0,826
9,000	2,349	0,106	3,600	0,898	0,080	3,600	0,179	0,045	3,600	1,279	0,135	3,600	0,777	0,045	3,600	0,096	0,754	3,600	0,110	0,792	3,600	0,218	0,863	3,600	0,247	0,794	3,600	0,200	0,820	3,600	0,152	0,809	3,600	0,187	0,841	3,600	0,123	0,778	3,600	0,277	0,895	3,600	0,160	0,843	1,800	0,105	0,406	3,600	0,181	0,831
9,050	2,363	0,040	3,620	0,903	0,051	3,620	0,185	0,044	3,620	1,285	0,137	3,620	0,783	0,044	3,620	0,102	0,759	3,620	0,114	0,797	3,620	0,235	0,865	3,620	0,259	0,800	3,620	0,209	0,825	3,620	0,159	0,815	3,620	0,195	0,846	3,620	0,130	0,784	3,620	0,286	0,900	3,620	0,237	0,862	1,810	0,044	0,409	3,620	0,190	0,837
9,100	2,378	0,046	3,640	0,909	0,077	3,640	0,191	0,052	3,640	1,290	0,139	3,640	0,789	0,045	3,640	0,104	0,765	3,640	0,119	0,803	3,640	0,252	0,871	3,640	0,271	0,805	3,640	0,218	0,830	3,640	0,166	0,820	3,640	0,203	0,852	3,640	0,135	0,789	3,640	0,298	0,905	3,640	0,215	0,870	1,820	0,110	0,412	3,640	0,197	0,843
9,150	2,393	-0,010	3,660	0,915	0,087	3,660	0,197	0,101	3,660	1,296	0,142	3,660	0,795	0,046	3,660	0,107	0,770	3,660	0,125	0,809	3,660	0,263	0,877	3,660	0,285	0,811	3,660	0,229	0,836	3,660	0,172	0,825	3,660	0,212	0,857	3,660	0,141	0,795	3,660	0,308	0,910	3,660	0,236	0,875	1,830	0,047	0,415	3,660	0,203	0,847
9,200	2,407	-0,003	3,680	0,921	0,091	3,680	0,203	0,050	3,680	1,302	0,144	3,680	0,801	0,045	3,680	0,110	0,775	3,680	0,130	0,814	3,680	0,276	0,882	3,680	0,299	0,816	3,680	0,237	0,841	3,680	0,180	0,831	3,680	0,221	0,862	3,680	0,147	0,800	3,680	0,322	0,915	3,680	0,273	0,892	1,840	0,111	0,416	3,680	0,212	0,852
9,250	2,422	-0,043	3,700	0,927	0,094	3,700	0,209	0,046	3,700	1,308	0,146	3,700	0,806	0,061	3,700	0,113	0,781	3,700	0,135	0,819	3,700	0,289	0,888	3,700	0,313	0,821	3,700	0,247	0,846	3,700	0,188	0,836	3,700	0,229	0,867	3,700	0,153	0,805	3,700	0,339	0,923	3,700	0,283	0,897	1,850	0,051	0,420	3,700	0,220	0,857
9,300	2,436	-0,036	3,720	0,933	0,096	3,720	0,215	0,045	3,720	1,314	0,140	3,720	0,812	0,057	3,720	0,116	0,786	3,720	0,140	0,824	3,720	0,300	0,893	3,720	0,328	0,826	3,720	0,257	0,852	3,720	0,196	0,842	3,720	0,241	0,873	3,720	0,159	0,810	3,720	0,345	0,928	3,720	0,311	0,911	1,860	0,111	0,422	3,720	0,232	0,863
9,350	2,451	-0,065	3,740	0,938	0,099	3,740	0,221	0,045	3,740	1,320	0,128	3,740	0,819	0,045	3,740	0,120	0,791	3,740	0,147	0,830	3,740	0,312	0,897	3,740	0,344	0,832	3,740	0,268	0,857	3,740	0,204	0,847	3,740	0,249	0,878	3,740	0,167	0,816	3,740	0,354	0,932	3,740	0,310	0,915	1,870	0,054	0,425	3,740	0,242	0,868
9,400	2,466	-0,059	3,760	0,944	0,102	3,760	0,227	0,046	3,760	1,326	0,151	3,760	0,825	0,043	3,760	0,110	0,797	3,760	0,153	0,835	3,760	0,327	0,903	3,760	0,360	0,837	3,760	0,280	0,863	3,760	0,214	0,852	3,760	0,260	0,883	3,760	0,174	0,821	3,760	0,363	0,938	3,760	0,323	0,920	1,880	0,118	0,428	3,760	0,252	0,873
9,450	2,480	-0,081	3,780	0,950	0,104	3,780	0,232	0,045	3,780	1,331	0,155	3,780	0,831	0,042	3,780	0,088	0,802	3,780	0,159	0,840	3,780	0,331	0,907	3,780	0,376	0,843	3,780	0,293	0,868	3,780	0,223	0,858	3,780	0,272	0,889	3,780	0,181	0,827	3,780	0,373	0,944	3,780	0,321	0,922	1,890	0,059	0,431	3,780	0,261	0,878
9,500	2,495	-0,077	3,800	0,955	0,106	3,800	0,239	0,045	3,800	1,338	0,159	3,800	0,837	0,040	3,800	0,126	0,808	3,800	0,167	0,846	3,800	0,343	0,911	3,800	0,394	0,848	3,800	0,304	0,873	3,800	0,233	0,863	3,800	0,285	0,894	3,800	0,189	0,832	3,800	0,379	0,950	3,800	0,340	0,928	1,900	0,119	0,433	3,800	0,272	0,883
9,550	2,509	-0,092	3,820	0,962	0,109	3,820	0,244	0,045	3,820	1,344	0,162	3,820	0,843	0,039	3,820	0,137	0,813	3,820	0,174	0,851	3,820	0,357	0,916	3,820	0,411	0,854	3,820	0,316	0,879	3,820	0,242	0,868	3,820	0,294	0,900	3,820	0,198	0,837	3,820	0,380	0,956	3,820	0,351	0,935	1,910	0,060	0,435	3,820	0,283	0,889
9,600	2,524	-0,086	3,840	0,968	0,112	3,840	0,251	0,046	3,840	1,349	0,164	3,840	0,849	0,038	3,840	0,142	0,819	3,840	0,182	0,856	3,840	0,372	0,922	3,840	0,428	0,858	3,840	0,331	0,884	3,840	0,253	0,874	3,840	0,306	0,905	3,840	0,208	0,843	3,840	0,380	0,960	3,840	0,354	0,939	1,920	0,123	0,438	3,840	0,295	0,894
9,650	2,539	-0,091	3,860	0,973	0,115	3,860	0,256	0,045	3,860	1,355	0,167	3,860	0,855	0,037	3,860	0,147	0,823	3,860	0,190	0,861	3,860	0,376	0,925	3,860	0,408	0,864	3,860	0,342	0,889	3,860	0,263	0,879	3,860	0,316	0,910	3,860	0,215	0,848	3,860	0,380	0,966	3,860	0,359	0,943	1,930	0,065	0,441	3,860	0,313	0,901
9,700	2,553	-0,068	3,880	0,979	0,117	3,880	0,262	0,045	3,880	1,360	0,170	3,880	0,861	0,035	3,880	0,153	0,829	3,880	0,231	0,867	3,880	0,380	0,927	3,880	0,455	0,870	3,880	0,356	0,895	3,880	0,274	0,885	3,880	0,328	0,915	3,880	0,224	0,853	3,880	0,377	0,971	3,880	0,355	0,944	1,940	0,128	0,443	3,880	0,325	0,907
9,750	2,568	-0,038	3,900	0,985	0,121	3,900	0,269	0,046	3,900	1,366	0,172	3,900	0,867	0,037	3,900	0,158	0,834	3,900	0,225	0,872	3,900	0,403	0,935	3,900	0,476	0,875	3,900	0,369	0,900	3,900	0,286	0,890	3,900	0,339	0,920	3,900	0,234	0,858	3,900	0,371	0,977	3,900	0,357	0,946	1,950	0,069	0,446	3,900	0,336	0,912
9,800	2,582	0,089	3,920	0,991	0,123	3,920	0,274	0,045	3,920	1,373	0,176	3,920	0,873	0,041	3,920	0,182	0,839	3,920	0,219	0,877	3,920	0,408	0,941	3,920	0,493	0,880	3,920	0,383	0,905	3,920	0,297	0,895	3,920	0,350	0,926	3,920	0,243	0,864	3,920	0,364	0,983	3,920	0,358	0,947	1,960	0,130	0,448	3,920	0,351	0,919
9,850	2,597	0,232	3,940	0,997	0,127	3,940	0,280	0,045	3,940	1,379	0,179	3,940	0,879	0,044	3,940	0,190	0,845	3,940	0,226	0,882	3,940	0,395	0,938	3,940	0,509	0,885	3,940	0,397	0,910	3,940	0,310	0,900	3,940	0,363	0,932	3,940	0,254	0,869	3,940	0,355	0,987	3,940	0,370	0,953	1,970	0,073	0,451	3,940	0,359	0,923
9,900	2,611	0,440	3,960	1,003	0,130	3,960	0,286	0,045	3,960	1,384	0,182	3,960	0,885	0,046	3,960	0,182	0,850	3,960	0,237	0,888	3,960	0,433	0,950	3,960	0,524	0,891	3,960	0,410	0,916	3,960	0,321	0,906	3,960	0,373	0,937	3,960	0,265	0,874	3,960	0,347	0,993	3,960	0,382	0,964	1,980	0,136	0,454	3,960	0,371	0,929
9,950	2,626	0,553	3,980	1,009	0,136	3,980	0,292	0,045	3,980	1,390	0,185	3,980	0,891	0,047	3,980	0,189	0,856	3,980	0,246	0,893	3,980	0,430	0,958	3,980	0,537	0,896	3,980	0,424	0,921	3,980	0,333	0,911	3,980	0,378	0,942	3,980	0,276	0,880	3,980	0,337	0,998	3,980	0,368	0,967	1,990	0,076	0,456	3,980	0,386	0,936
10,000	2,641	0,706	4,000	1,014	0,150	4,000	0,298	0,045	4,000	1,396	0,188	4,000	0,896	0,046	4,000	0,195	0,861	4,000	0,256	0,898	4,000	0,436	0,962	4,000	0,547	0,902	4,000	0,437	0,927	4,000	0,345	0,916	4,000	0,385	0,947	4,000	0,287	0,885	4,000	0,328	1,004	4,000	0,367	0,973	2,000	0,137	0,459	4,000	0,398	0,942
10,050	2,655	0,773	4,020	1,021	0,140	4,020	0,304	-0,011	4,020	1,402	0,191	4,020	0,903	0,046	4,020	0,204	0,866	4,020	0,267	0,903	4,020	0,428	0,969	4,020	0,555	0,907	4,020	0,449	0,932	4,020	0,357	0,922	4,020	0,388	0,953	4,020	0,309	0,891	4,020	0,317	1,009	4,020	0,362	0,978	2,010	0,080	0,462	4,020	0,407	0,950
10,100	2,670	0,890	4,040	1,027	0,143	4,040	0,309	0,035	4,040	1,408	0,194	4,040	0,909	0,046	4,040	0,210	0,871	4,040	0,276	0,909	4,040	0,419	0,975	4,040	0,560	0,912	4,040	0,459	0,937	4,040	0,367	0,927	4,040	0,392	0,958	4,040	0,313	0,896	4,040	0,308	1,014	4,040	0,360	0,988	2,020	0,142	0,465	4,040	0,408	0,957
10,150	2,684	0,935	4,060	1,032	0,145	4,060	0,315	0,043	4,060	1,414	0,198	4,060	0,915	0,046	4,060	0,221	0,877	4,060	0,290	0,914	4,060	0,404	0,980	4,060	0,561	0,918	4,060	0,468	0,942	4,060	0,378	0,932	4,060	0,398	0,963	4,060	0,324	0,901	4,060	0,296	1,020	4,060	0,338	0,990	2,030	0,081	0,467	4,060	0,408	0,962
10,200	2,699	1,037	4,080	1,038	0,148	4,080	0,321	0,044	4,080	1,420	0,201	4,080	0,921	0,019	4,080	0,231	0,882	4,080	0,305	0,920	4,080	0,397	0,981	4,080	0,560	0,923	4,080	0,475	0,948	4,080	0,387	0,938	4,080	0,389	0,968	4,080	0,338	0,907	4,080	0,286	1,025	4,080	0,328	0,996	2,040	0,146	0,470	4,080	0,401	0,966
10,250	2,714	1,077	4,100	1,044	0,152	4,100	0,327	0,045	4,100	1,425	0,259	4,100	0,927	0,044	4,100	0,241	0,888	4,100	0,314	0,925	4,100	0,401	0,986	4,100	0,555	0,928	4,100	0,479	0,953	4,100	0,394	0,943	4,100	0,385	0,974	4,100	0,349	0,912	4,100	0,276	1,030	4,100	0,326	0,999	2,050	0,088	0,473	4,100	0,399	0,970
10,300	2,728	1,181	4,120	1,050	0,155	4,120	0,333	0,045	4,120	1,432	0,220	4,120	0,933	0,046	4,120	0,251	0,893	4,120	0,324	0,930	4,120	0,392	0,992	4,120	0,548	0,933	4,120	0,480	0,958	4,120	0,400	0,948	4,120	0,379	0,979	4,120	0,361	0,917	4,120	0,267	1,036	4,120	0,311	1,002	2,060	0,148	0,475	4,120	0,396	0,976
10,350	2,743	1,242	4,140	1,056	0,158	4,140	0,338	0,044	4,140	1,437	0,212	4,140	0,939	0,047	4,140	0,262	0,898	4,140	0,335	0,935	4,140	0,380	0,997	4,140	0,540	0,939	4,140	0,479	0,964	4,140	0,404	0,954	4,140	0,370	0,985	4,140	0,372	0,923	4,140	0,257	1,041	4,140	0,321	1,008	2,070	0,088	0,478	4,140	0,388	0,981
10,400	2,758	1,378	4,160	1,062	0,161	4,160	0,344	0,045	4,160	1,443	0,215	4,160	0,944	0,047	4,160	0,273	0,903	4,160	0,346	0,940	4,160	0,365	1,000	4,160	0,529	0,944	4,160	0,475	0,969	4,160	0,406	0,959	4,160	0,360	0,990	4,160	0,384	0,928	4,160	0,250	1,046	4,160	0,301	1,017	2,080	0,148	0,481	4,160	0,380	0,985
10,450	2,772	1,490	4,180	1,068	0,165	4,180	0,351	0,045	4,180	1,449	0,219	4,180	0,950	0,047	4,180	0,284	0,909	4,180	0,356	0,945	4,180	0,363	1,009	4,180	0,518	0,949	4,180	0,468	0,974	4,180	0,405	0,965	4,180	0,351	0,996	4,180	0,395	0,933	4,180	0,240	1,052	4,180	0,283	1,020	2,090	0,087	0,483	4,180	0,372	0,990
10,500	2,786	1,643	4,200	1,074	0,168	4,200	0,356	0,045	4,200	1,455	0,222	4,200	0,956	0,047	4,200	0,295	0,914	4,200	0,364	0,951	4,200	0,343	1,013	4,200	0,512	0,955	4,200	0,458	0,979	4,200	0,402	0,969	4,200	0,340	1,001	4,200	0,403	0,938	4,200	0,231	1,058	4,200	0,287	1,030	2,100	0,149	0,485	4,200	0,365	0,995
10,550	2,801	1,755	4,220	1,079	0,172	4,220	0,362	0,045	4,220	1,461	0,225	4,220	0,962	0,045	4,220	0,309	0,920	4,220	0,372	0,956	4,220	0,329	1,018	4,220	0,500	0,960	4,220	0,449	0,985	4,220	0,397	0,975	4,220	0,331	1,006	4,220	0,411	0,944	4,220	0,222	1,062	4,220	0,265	1,041	2,110	0,089	0,488	4,220	0,353	1,000
10,600	2,816	1,909	4,240	1,085	0,176	4,240	0,368	0,045	4,240	1,467	0,228	4,240	0,968	0,046	4,240	0,322	0,925	4,240	0,344	0,962	4,240	0,318	1,021	4,240	0,480	0,965	4,240	0,438	0,990	4,240	0,390	0,980	4,240	0,320	1,011	4,240	0,417	0,949	4,240	0,215	1,068	4,240	0,245	1,048	2,120	0,150	0,490	4,240	0,348	1,006
10,650	2,830	2,005	4,260	1,091	0,180	4,260	0,374	0,045	4,260	1,472	0,232	4,260	0,974	0,045	4,260	0,334	0,930	4,260	0,377	0,967	4,260	0,320	1,028	4,260	0,466	0,971	4,260	0,425	0,995	4,260	0,381	0,985	4,260	0,310	1,016	4,260	0,421	0,954	4,260	0,209	1,073	4,260	0,233	1,052	2,130	0,090	0,493	4,260	0,334	1,011
10,700	2,844	2,140	4,280	1,097	0,184	4,280	0,380	0,045	4,280	1,478	0,235	4,280	0,980	0,046	4,280	0,347	0,935	4,280	0,381	0,972	4,280	0,303	1,034	4,280	0,452	0,976	4,280	0,413	1,001	4,280	0,373	0,991	4,280	0,299	1,022	4,280	0,421	0,959	4,280	0,202	1,078	4,280	0,224	1,056	2,140	0,152	0,497	4,280	0,321	1,017
10,750	2,859	2,226	4,300	1,104	0,189	4,300	0,386	0,045	4,300	1,484	0,239	4,300	0,986	0,047	4,300	0,361	0,941	4,300	0,380	0,977	4,300	0,292	1,036	4,300	0,438	0,981	4,300	0,400	1,006	4,300	0,365	0,996	4,300	0,289	1,027	4,300	0,420	0,965	4,300	0,196	1,084	4,300	0,219	1,061	2,150	0,089	0,499	4,300	0,310	1,023
10,800	2,874	2,338	4,320	1,109	0,192	4,320	0,392	0,045	4,320	1,490	0,244	4,320	0,992	0,047	4,320	0,375	0,946	4,320	0,377	0,983	4,320	0,288	1,041	4,320	0,424	0,987	4,320	0,386	1,011	4,320	0,352	1,002	4,320	0,281	1,032	4,320	0,418	0,970	4,320	0,182	1,089	4,320	0,211	1,066	2,160	0,148	0,501	4,320	0,297	1,028
