Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Spannung, Ch B (V) Messreihe #1	Zeit (s) Messreihe #2	Spannung, Ch A (V) Messreihe #2	Spannung, Ch B (V) Messreihe #2	Zeit (s) Messreihe #3	Spannung, Ch A (V) Messreihe #3	Spannung, Ch B (V) Messreihe #3	Zeit (s) Messreihe #4	Spannung, Ch A (V) Messreihe #4	Spannung, Ch B (V) Messreihe #4	Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5	Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6	Zeit (s) Messreihe #7	Spannung, Ch A (V) Messreihe #7	Spannung, Ch B (V) Messreihe #7	Zeit (s) Messreihe #8	Spannung, Ch A (V) Messreihe #8	Spannung, Ch B (V) Messreihe #8	Zeit (s) Messreihe #9	Spannung, Ch A (V) Messreihe #9	Spannung, Ch B (V) Messreihe #9
17,450	-3,937E-4	0,219	17,450	1,782	0,866	17,450	0,162	0,253				17,450	1,823	0,004	17,450	0,351	0,049	17,450	4,400	0,076	17,450	0,230	-7,778E-4	17,450	0,913	-0,004
17,500	0,004	0,219	17,500	1,782	0,866	17,500	0,168	0,254				17,500	1,853	0,004	17,500	0,351	0,048	17,500	4,505	0,078	17,500	0,230	-7,473E-4	17,500	0,913	-0,005
17,550	0,027	0,220	17,550	1,782	0,866	17,550	0,178	0,257				17,550	1,852	0,004	17,550	0,376	0,049	17,550	4,602	0,077	17,550	0,246	-6,570E-4	17,550	0,916	-0,005
17,600	0,064	0,226	17,600	1,807	0,867	17,600	0,186	0,260				17,600	1,853	0,004	17,600	0,404	0,048	17,600	4,673	0,079	17,600	0,274	-9,670E-4	17,600	0,918	-0,005
17,650	0,118	0,235	17,650	1,873	0,871	17,650	0,192	0,263				17,650	1,853	0,004	17,650	0,428	0,049	17,650	4,686	0,078	17,650	0,317	-8,181E-4	17,650	0,936	-0,005
17,700	0,179	0,251	17,700	1,952	0,875	17,700	0,197	0,266				17,700	1,852	0,004	17,700	0,478	0,048	17,700	4,687	0,079	17,700	0,370	-0,001	17,700	0,964	-0,006
17,750	0,225	0,270	17,750	2,023	0,880	17,750	0,200	0,268				17,750	1,852	0,004	17,750	0,511	0,050	17,750	4,687	0,078	17,750	0,385	-0,001	17,750	0,968	-0,005
17,800	0,248	0,288	17,800	2,073	0,883	17,800	0,204	0,270				17,800	1,857	0,004	17,800	0,511	0,049	17,800	4,686	0,079	17,800	0,416	-0,001	17,800	0,968	-0,006
17,850	0,256	0,305	17,850	2,103	0,884	17,850	0,210	0,272				17,850	1,861	0,004	17,850	0,511	0,049	17,850	4,686	0,078	17,850	0,453	-9,963E-4	17,850	0,968	-0,006
17,900	0,258	0,322	17,900	2,139	0,886	17,900	0,216	0,275				17,900	1,870	0,003	17,900	0,511	0,049	17,900	4,686	0,078	17,900	0,492	-0,002	17,900	0,968	-0,007
17,950	0,261	0,338	17,950	2,175	0,888	17,950	0,221	0,279				17,950	1,931	0,004	17,950	0,511	0,050	17,950	4,720	0,078	17,950	0,495	-0,001	17,950	0,968	-0,006
18,000	0,272	0,359	18,000	2,191	0,889	18,000	0,225	0,282				18,000	1,985	0,004	18,000	0,511	0,049	18,000	4,780	0,079	18,000	0,495	-0,001	18,000	0,969	-0,007
18,050	0,286	0,390	18,050	2,196	0,889	18,050	0,227	0,286				18,050	2,003	0,004	18,050	0,511	0,050	18,050	4,826	0,078	18,050	0,495	-0,001	18,050	0,970	-0,007
18,100	0,302	0,432	18,100	2,198	0,890	18,100	0,230	0,289				18,100	2,031	0,004	18,100	0,515	0,049	18,100	4,957	0,080	18,100	0,495	-0,002	18,100	0,974	-0,007
18,150	0,331	0,489	18,150	2,199	0,890	18,150	0,232	0,292				18,150	2,074	0,004	18,150	0,545	0,050	18,150	5,062	0,079	18,150	0,495	-0,001	18,150	0,976	-0,007
18,200	0,351	0,548	18,200	2,210	0,890	18,200	0,234	0,296				18,200	2,122	0,003	18,200	0,553	0,049	18,200	5,118	0,080	18,200	0,497	-0,001	18,200	0,985	-0,008
18,250	0,393	0,600	18,250	2,282	0,893	18,250	0,236	0,299				18,250	2,203	0,004	18,250	0,584	0,050	18,250	5,118	0,079	18,250	0,519	-0,002	18,250	1,001	-0,008
18,300	0,465	0,650	18,300	2,476	0,902	18,300	0,237	0,303				18,300	2,222	0,004	18,300	0,609	0,049	18,300	5,118	0,080	18,300	0,561	-0,002	18,300	1,002	-0,009
18,350	0,557	0,694	18,350	2,656	0,910	18,350	0,238	0,307				18,350	2,222	0,004	18,350	0,669	0,050	18,350	5,118	0,079	18,350	0,602	-0,002	18,350	1,002	-0,009
18,400	0,675	0,733	18,400	2,755	0,914	18,400	0,238	0,311				18,400	2,222	0,004	18,400	0,702	0,050	18,400	5,118	0,080	18,400	0,667	-0,002	18,400	1,001	-0,010
18,450	0,843	0,769	18,450	2,821	0,916	18,450	0,238	0,315				18,450	2,222	0,004	18,450	0,704	0,050	18,450	5,121	0,079	18,450	0,692	-0,002	18,450	1,003	-0,011
18,500	1,076	0,804	18,500	2,838	0,918	18,500	0,239	0,319				18,500	2,218	0,004	18,500	0,703	0,050	18,500	5,169	0,081	18,500	0,717	-0,002	18,500	1,004	-0,011
18,550	1,338	0,832	18,550	2,842	0,917	18,550	0,240	0,323				18,550	2,212	0,004	18,550	0,702	0,050	18,550	5,226	0,080	18,550	0,720	-0,002	18,550	1,004	-0,012
18,600	1,558	0,851	18,600	2,843	0,918	18,600	0,241	0,327				18,600	2,234	0,003	18,600	0,702	0,050	18,600	5,263	0,081	18,600	0,721	-0,002	18,600	1,005	-0,013
18,650	1,680	0,861	18,650	2,844	0,918	18,650	0,242	0,331				18,650	2,317	0,004	18,650	0,703	0,051	18,650	5,313	0,081	18,650	0,721	-0,002	18,650	1,004	-0,013
18,700	1,733	0,865	18,700	2,844	0,918	18,700	0,242	0,336				18,700	2,404	0,004	18,700	0,702	0,050	18,700	5,399	0,082	18,700	0,721	-0,003	18,700	1,004	-0,014
18,750	1,754	0,866	18,750	2,855	0,918	18,750	0,243	0,340				18,750	2,425	0,004	18,750	0,707	0,051	18,750	5,496	0,081	18,750	0,722	-0,002	18,750	1,003	-0,015
18,800	1,763	0,867	18,800	2,943	0,921	18,800	0,243	0,344				18,800	2,447	0,004	18,800	0,741	0,050	18,800	5,547	0,082	18,800	0,740	-0,002	18,800	1,003	-0,016
18,850	1,772	0,867	18,850	3,107	0,926	18,850	0,244	0,349				18,850	2,474	0,004	18,850	0,765	0,051	18,850	5,617	0,082	18,850	0,769	-0,002	18,850	1,002	-0,016
18,900	1,824	0,870	18,900	3,188	0,929	18,900	0,244	0,353				18,900	2,493	0,004	18,900	0,784	0,050	18,900	5,639	0,083	18,900	0,805	-0,002	18,900	1,002	-0,018
18,950	1,920	0,876	18,950	3,243	0,930	18,950	0,244	0,357				18,950	2,515	0,004	18,950	0,810	0,051	18,950	5,639	0,082	18,950	0,842	-0,002	18,950	1,001	-0,018
19,000	1,995	0,881	19,000	3,345	0,934	19,000	0,245	0,361				19,000	2,547	0,004	19,000	0,850	0,051	19,000	5,639	0,083	19,000	0,894	-0,003	19,000	1,001	-0,019
19,050	2,066	0,884	19,050	3,496	0,938	19,050	0,245	0,366				19,050	2,582	0,004	19,050	0,870	0,051	19,050	5,639	0,082	19,050	0,924	-0,003	19,050	1,000	-0,020
19,100	2,132	0,888	19,100	3,594	0,941	19,100	0,245	0,369				19,100	2,600	0,004	19,100	0,900	0,051	19,100	5,643	0,083	19,100	0,929	-0,003	19,100	0,999	-0,022
19,150	2,215	0,892	19,150	3,623	0,942	19,150	0,246	0,374				19,150	2,604	0,004	19,150	0,928	0,052	19,150	5,660	0,082	19,150	0,929	-0,003	19,150	0,999	-0,022
19,200	2,265	0,895	19,200	3,625	0,942	19,200	0,246	0,378				19,200	2,604	0,004	19,200	0,923	0,051	19,200	5,730	0,083	19,200	0,930	-0,004	19,200	0,998	-0,024
19,250	2,279	0,896	19,250	3,625	0,942	19,250	0,247	0,382				19,250	2,604	0,004	19,250	0,922	0,052	19,250	5,767	0,082	19,250	0,930	-0,003	19,250	0,998	-0,025
19,300	2,284	0,896	19,300	3,628	0,942	19,300	0,247	0,386				19,300	2,604	0,004	19,300	0,921	0,051	19,300	5,804	0,084	19,300	0,932	-0,004	19,300	0,998	-0,026
19,350	2,271	0,896	19,350	3,662	0,943	19,350	0,248	0,390				19,350	2,606	0,004	19,350	0,921	0,052	19,350	5,936	0,083	19,350	0,932	-0,004	19,350	0,997	-0,027
19,400	2,267	0,896	19,400	3,785	0,946	19,400	0,249	0,394				19,400	2,643	0,004	19,400	0,921	0,051	19,400	6,038	0,084	19,400	0,934	-0,004	19,400	0,997	-0,028
19,450	2,311	0,897	19,450	4,010	0,951	19,450	0,249	0,398				19,450	2,702	0,004	19,450	0,937	0,052	19,450	6,173	0,084	19,450	0,967	-0,004	19,450	0,996	-0,029
19,500	2,419	0,902	19,500	4,140	0,954	19,500	0,249	0,402				19,500	2,755	0,004	19,500	0,931	0,051	19,500	6,188	0,085	19,500	0,989	-0,005	19,500	0,995	-0,031
19,550	2,557	0,908	19,550	4,188	0,955	19,550	0,250	0,406				19,550	2,819	0,004	19,550	0,968	0,052	19,550	6,186	0,084	19,550	1,005	-0,005	19,550	0,994	-0,031
19,600	2,728	0,915	19,600	4,303	0,958	19,600	0,250	0,410				19,600	2,868	0,004	19,600	0,992	0,051	19,600	6,187	0,085	19,600	1,033	-0,006	19,600	0,994	-0,033
19,650	2,828	0,919	19,650	4,343	0,959	19,650	0,250	0,413				19,650	2,897	0,004	19,650	1,028	0,052	19,650	6,186	0,084	19,650	1,063	-0,007	19,650	0,993	-0,034
19,700	2,857	0,920	19,700	4,347	0,959	19,700	0,251	0,417				19,700	2,944	0,004	19,700	1,059	0,052	19,700	6,187	0,085	19,700	1,088	-0,010	19,700	0,994	-0,035
19,750	2,863	0,920	19,750	4,347	0,959	19,750	0,251	0,421				19,750	2,959	0,004	19,750	1,083	0,053	19,750	6,186	0,084	19,750	1,083	-0,014	19,750	0,993	-0,037
19,800	2,865	0,921	19,800	4,348	0,959	19,800	0,252	0,425				19,800	2,959	0,004	19,800	1,118	0,052	19,800	6,201	0,085	19,800	1,075	-0,018	19,800	0,993	-0,038
19,850	2,866	0,920	19,850	4,346	0,959	19,850	0,253	0,428				19,850	2,959	0,004	19,850	1,134	0,053	19,850	6,296	0,085	19,850	1,070	-0,022	19,850	0,993	-0,039
19,900	2,866	0,921	19,900	4,382	0,959	19,900	0,253	0,432				19,900	2,959	0,004	19,900	1,134	0,052	19,900	6,381	0,086	19,900	1,064	-0,027	19,900	0,993	-0,041
19,950	2,925	0,922	19,950	4,600	0,963	19,950	0,253	0,435				19,950	2,959	0,004	19,950	1,134	0,053	19,950	6,390	0,085	19,950	1,059	-0,031	19,950	0,992	-0,042
20,000	3,072	0,927	20,000	4,787	0,967	20,000	0,254	0,439				20,000	2,959	0,004	20,000	1,134	0,052	20,000	6,460	0,086	20,000	1,064	-0,036	20,000	0,992	-0,044
20,050	3,209	0,932	20,050	4,936	0,969	20,050	0,254	0,442				20,050	2,961	0,004	20,050	1,134	0,053	20,050	6,533	0,086	20,050	1,068	-0,043	20,050	0,991	-0,045
20,100	3,346	0,937	20,100	5,129	0,972	20,100	0,255	0,445				20,100	2,997	0,004	20,100	1,134	0,052	20,100	6,581	0,087	20,100	1,048	-0,050	20,100	0,992	-0,046
20,150	3,441	0,939	20,150	5,196	0,973	20,150	0,256	0,449				20,150	3,037	0,004	20,150	1,136	0,053	20,150	6,583	0,086	20,150	1,058	-0,056	20,150	0,991	-0,047
20,200	3,524	0,941	20,200	5,202	0,974	20,200	0,256	0,452				20,200	3,056	0,004	20,200	1,153	0,052	20,200	6,583	0,087	20,200	1,063	-0,064	20,200	0,991	-0,049
20,250	3,541	0,942	20,250	5,203	0,974	20,250	0,257	0,455				20,250	3,113	0,004	20,250	1,186	0,053	20,250	6,583	0,086	20,250	1,065	-0,073	20,250	0,991	-0,050
20,300	3,543	0,942	20,300	5,203	0,974	20,300	0,258	0,458				20,300	3,188	0,004	20,300	1,218	0,053	20,300	6,584	0,087	20,300	1,063	-0,082	20,300	0,991	-0,052
20,350	3,549	0,942	20,350	5,203	0,973	20,350	0,258	0,461				20,350	3,242	0,004	20,350	1,269	0,054	20,350	6,583	0,086	20,350	1,060	-0,092	20,350	0,991	-0,053
20,400	3,556	0,943	20,400	5,211	0,974	20,400	0,259	0,464				20,400	3,331	0,004	20,400	1,304	0,053	20,400	6,627	0,087	20,400	1,057	-0,102	20,400	0,991	-0,055
20,450	3,622	0,944	20,450	5,279	0,974	20,450	0,260	0,467				20,450	3,390	0,004	20,450	1,328	0,054	20,450	6,684	0,087	20,450	1,054	-0,112	20,450	0,990	-0,055
20,500	3,756	0,947	20,500	5,517	0,978	20,500	0,260	0,470				20,500	3,406	0,003	20,500	1,363	0,053	20,500	6,706	0,088	20,500	1,052	-0,123	20,500	0,990	-0,058
20,550	3,896	0,951	20,550	5,705	0,980	20,550	0,261	0,473				20,550	3,405	0,004	20,550	1,419	0,054	20,550	6,753	0,087	20,550	1,051	-0,133	20,550	0,990	-0,059
20,600	4,005	0,953	20,600	5,782	0,982	20,600	0,262	0,476				20,600	3,405	0,004	20,600	1,509	0,054	20,600	6,794	0,088	20,600	1,050	-0,144	20,600	0,990	-0,060
20,650	4,097	0,956	20,650	5,800	0,982	20,650	0,262	0,479				20,650	3,406	0,004	20,650	1,551	0,055	20,650	6,865	0,087	20,650	1,051	-0,154	20,650	0,989	-0,062
20,700	4,113	0,956	20,700	5,801	0,982	20,700	0,263	0,481				20,700	3,406	0,004	20,700	1,551	0,054	20,700	6,902	0,088	20,700	1,051	-0,165	20,700	0,989	-0,063
20,750	4,114	0,956	20,750	5,801	0,982	20,750	0,264	0,484				20,750	3,406	0,004	20,750	1,551	0,055	20,750	6,950	0,087	20,750	1,053	-0,175	20,750	0,989	-0,064
20,800	4,115	0,956	20,800	5,801	0,982	20,800	0,265	0,487				20,800	3,407	0,004	20,800	1,551	0,054	20,800	6,980	0,089	20,800	1,055	-0,186	20,800	0,989	-0,066
20,850	4,121	0,956	20,850	5,801	0,982	20,850	0,265	0,489				20,850	3,411	0,004	20,850	1,551	0,055	20,850	6,996	0,088	20,850	1,057	-0,196	20,850	0,989	-0,068
20,900	4,124	0,956	20,900	5,802	0,982	20,900	0,266	0,491				20,900	3,449	0,004	20,900	1,551	0,054	20,900	7,002	0,089	20,900	1,059	-0,206	20,900	0,990	-0,069
20,950	4,184	0,957	20,950	5,855	0,982	20,950	0,267	0,494				20,950	3,513	0,004	20,950	1,555	0,055	20,950	7,004	0,088	20,950	1,061	-0,216	20,950	0,988	-0,070
21,000	4,257	0,959	21,000	6,023	0,985	21,000	0,268	0,497				21,000	3,563	0,004	21,000	1,594	0,054	21,000	7,002	0,089	21,000	1,064	-0,226	21,000	0,989	-0,072
21,050	4,357	0,961	21,050	6,187	0,986	21,050	0,268	0,499				21,050	3,603	0,004	21,050	1,642	0,055	21,050	7,002	0,088	21,050	1,065	-0,235	21,050	0,989	-0,073
21,100	4,515	0,964	21,100	6,346	0,989	21,100	0,269	0,501				21,100	3,622	0,004	21,100	1,663	0,055	21,100	7,006	0,089	21,100	1,068	-0,245	21,100	0,988	-0,075
21,150	4,651	0,966	21,150	6,508	0,990	21,150	0,270	0,504				21,150	3,671	0,004	21,150	1,688	0,056	21,150	7,009	0,088	21,150	1,071	-0,255	21,150	0,988	-0,077
21,200	4,711	0,968	21,200	6,533	0,991	21,200	0,274	0,506				21,200	3,705	0,003	21,200	1,718	0,055	21,200	7,010	0,089	21,200	1,074	-0,265	21,200	0,988	-0,078
21,250	4,716	0,968	21,250	6,533	0,990	21,250	0,278	0,510				21,250	3,719	0,004	21,250	1,735	0,057	21,250	7,011	0,088	21,250	1,075	-0,274	21,250	0,987	-0,080
21,300	4,717	0,968	21,300	6,533	0,990	21,300	0,280	0,513				21,300	3,717	0,004	21,300	1,786	0,056	21,300	7,011	0,089	21,300	1,074	-0,283	21,300	0,987	-0,082
21,350	4,718	0,968	21,350	6,533	0,990	21,350	0,282	0,517				21,350	3,717	0,004	21,350	1,852	0,056	21,350	7,012	0,088	21,350	1,075	-0,292	21,350	0,986	-0,083
21,400	4,727	0,968	21,400	6,543	0,991	21,400	0,284	0,520				21,400	3,715	0,004	21,400	1,884	0,056	21,400	7,012	0,089	21,400	1,076	-0,302	21,400	0,986	-0,085
21,450	4,803	0,969	21,450	6,612	0,991	21,450	0,286	0,524				21,450	3,714	0,005	21,450	1,911	0,057	21,450	7,012	0,088	21,450	1,078	-0,311	21,450	0,986	-0,086
21,500	4,986	0,972	21,500	6,666	0,992	21,500	0,288	0,527				21,500	3,714	0,004	21,500	1,918	0,056	21,500	7,012	0,089	21,500	1,080	-0,321	21,500	0,987	-0,088
21,550	5,177	0,975	21,550	6,741	0,992	21,550	0,290	0,531				21,550	3,720	0,005	21,550	1,917	0,057	21,550	7,011	0,088	21,550	1,083	-0,329	21,550	0,986	-0,089
21,600	5,354	0,978	21,600	6,819	0,994	21,600	0,292	0,533				21,600	3,738	0,004	21,600	1,917	0,056	21,600	6,920	0,089	21,600	1,086	-0,339	21,600	0,986	-0,091
21,650	5,466	0,979	21,650	6,829	0,993	21,650	0,294	0,537				21,650	3,780	0,004	21,650	1,917	0,057	21,650	6,770	0,088	21,650	1,088	-0,347	21,650	0,986	-0,092
21,700	5,499	0,980	21,700	6,830	0,994	21,700	0,296	0,540				21,700	3,850	0,004	21,700	1,917	0,056	21,700	6,661	0,088	21,700	1,091	-0,356	21,700	0,987	-0,094
21,750	5,502	0,980	21,750	6,830	0,994	21,750	0,298	0,542				21,750	3,884	0,004	21,750	1,971	0,058	21,750	6,606	0,087	21,750	1,093	-0,365	21,750	0,987	-0,095
21,800	5,502	0,981	21,800	6,829	0,994	21,800	0,300	0,545				21,800	3,925	0,004	21,800	2,040	0,057	21,800	6,606	0,088	21,800	1,095	-0,373	21,800	0,987	-0,098
21,850	5,502	0,980	21,850	6,829	0,993	21,850	0,302	0,547				21,850	3,940	0,005	21,850	2,075	0,058	21,850	6,606	0,087	21,850	1,097	-0,382	21,850	0,987	-0,099
21,900	5,504	0,980	21,900	6,831	0,994	21,900	0,304	0,549				21,900	3,961	0,004	21,900	2,124	0,057	21,900	6,609	0,088	21,900	1,099	-0,390	21,900	0,987	-0,101
21,950	5,559	0,981	21,950	6,858	0,993	21,950	0,306	0,552				21,950	3,973	0,004	21,950	2,134	0,058	21,950	6,623	0,088	21,950	1,101	-0,398	21,950	0,986	-0,102
22,000	5,709	0,983	22,000	6,880	0,994	22,000	0,307	0,553				22,000	3,972	0,004	22,000	2,185	0,058	22,000	6,623	0,089	22,000	1,103	-0,407	22,000	0,987	-0,104
22,050	5,871	0,985	22,050	6,891	0,994	22,050	0,309	0,556				22,050	3,972	0,004	22,050	2,250	0,058	22,050	6,623	0,087	22,050	1,104	-0,414	22,050	0,986	-0,105
22,100	6,006	0,986	22,100	6,895	0,995	22,100	0,311	0,557				22,100	3,972	0,004	22,100	2,258	0,058	22,100	6,616	0,088	22,100	1,108	-0,423	22,100	0,986	-0,107
22,150	6,061	0,987	22,150	6,897	0,994	22,150	0,313	0,560				22,150	3,972	0,004	22,150	2,258	0,059	22,150	6,599	0,088	22,150	1,110	-0,430	22,150	0,985	-0,108
22,200	6,067	0,988	22,200	6,898	0,994	22,200	0,315	0,561				22,200	3,975	0,004	22,200	2,258	0,058	22,200	6,548	0,089	22,200	1,112	-0,438	22,200	0,986	-0,110
22,250	6,067	0,987	22,250	6,899	0,994	22,250	0,318	0,564				22,250	3,998	0,004	22,250	2,258	0,059	22,250	6,466	0,087	22,250	1,114	-0,445	22,250	0,986	-0,112
22,300	6,067	0,987	22,300	6,899	0,995	22,300	0,320	0,565				22,300	4,038	0,004	22,300	2,257	0,058	22,300	6,392	0,088	22,300	1,115	-0,453	22,300	0,986	-0,113
22,350	6,069	0,987	22,350	6,900	0,994	22,350	0,322	0,568				22,350	4,100	0,005	22,350	2,258	0,059	22,350	6,326	0,087	22,350	1,115	-0,460	22,350	0,986	-0,115
22,400	6,085	0,988	22,400	6,900	0,994	22,400	0,326	0,570				22,400	4,158	0,004	22,400	2,267	0,058	22,400	6,273	0,088	22,400	1,113	-0,468	22,400	0,986	-0,117
22,450	6,220	0,989	22,450	6,900	0,994	22,450	0,330	0,573				22,450	4,198	0,004	22,450	2,312	0,059	22,450	6,270	0,087	22,450	1,112	-0,476	22,450	0,986	-0,118
22,500	6,420	0,991	22,500	6,900	0,994	22,500	0,334	0,575				22,500	4,253	0,004	22,500	2,336	0,058	22,500	6,271	0,088	22,500	1,113	-0,484	22,500	0,987	-0,120
22,550	6,538	0,993	22,550	6,901	0,994	22,550	0,338	0,579				22,550	4,308	0,005	22,550	2,401	0,060	22,550	6,271	0,087	22,550	1,113	-0,491	22,550	0,987	-0,121
22,600	6,643	0,994	22,600	6,900	0,995	22,600	0,342	0,582				22,600	4,329	0,004	22,600	2,509	0,059	22,600	6,271	0,088	22,600	1,112	-0,499	22,600	0,988	-0,123
22,650	6,683	0,994	22,650	6,901	0,994	22,650	0,345	0,585				22,650	4,328	0,005	22,650	2,534	0,060	22,650	6,270	0,087	22,650	1,112	-0,506	22,650	0,988	-0,124
22,700	6,684	0,994	22,700	6,900	0,995	22,700	0,349	0,588				22,700	4,328	0,004	22,700	2,574	0,059	22,700	6,257	0,087	22,700	1,114	-0,514	22,700	0,988	-0,126
22,750	6,683	0,995	22,750	6,901	0,994	22,750	0,353	0,591				22,750	4,328	0,004	22,750	2,615	0,061	22,750	6,195	0,087	22,750	1,114	-0,522	22,750	0,988	-0,127
22,800	6,683	0,995	22,800	6,900	0,994	22,800	0,356	0,594				22,800	4,328	0,004	22,800	2,615	0,060	22,800	6,155	0,087	22,800	1,113	-0,530	22,800	0,988	-0,129
22,850	6,683	0,995	22,850	6,901	0,994	22,850	0,360	0,597				22,850	4,328	0,004	22,850	2,615	0,061	22,850	6,108	0,086	22,850	1,112	-0,537	22,850	0,988	-0,130
22,900	6,683	0,995	22,900	6,901	0,995	22,900	0,365	0,600				22,900	4,328	0,004	22,900	2,615	0,060	22,900	6,043	0,087	22,900	1,111	-0,545	22,900	0,988	-0,132
22,950	6,720	0,995	22,950	6,901	0,994	22,950	0,369	0,603				22,950	4,344	0,004	22,950	2,615	0,060	22,950	5,906	0,086	22,950	1,112	-0,552	22,950	0,988	-0,134
23,000	6,810	0,996	23,000	6,901	0,994	23,000	0,374	0,606				23,000	4,414	0,004	23,000	2,615	0,060	23,000	5,856	0,086	23,000	1,113	-0,561	23,000	0,987	-0,136
23,050	6,882	0,996	23,050	6,902	0,994	23,050	0,377	0,610				23,050	4,478	0,004	23,050	2,624	0,061	23,050	5,856	0,086	23,050	1,114	-0,568	23,050	0,988	-0,136
23,100	6,916	0,997	23,100	6,902	0,995	23,100	0,381	0,612				23,100	4,496	0,004	23,100	2,662	0,060	23,100	5,856	0,087	23,100	1,114	-0,576	23,100	0,987	-0,139
23,150	6,931	0,997	23,150	6,902	0,994	23,150	0,385	0,615				23,150	4,518	0,005	23,150	2,718	0,061	23,150	5,856	0,086	23,150	1,115	-0,583	23,150	0,987	-0,140
23,200	6,938	0,997	23,200	6,901	0,994	23,200	0,392	0,618				23,200	4,554	0,004	23,200	2,746	0,060	23,200	5,856	0,087	23,200	1,117	-0,591	23,200	0,988	-0,142
23,250	6,942	0,997	23,250	6,898	0,994	23,250	0,397	0,622				23,250	4,572	0,005	23,250	2,758	0,061	23,250	5,856	0,086	23,250	1,119	-0,598	23,250	0,987	-0,143
23,300	6,944	0,997	23,300	6,801	0,994	23,300	0,402	0,625				23,300	4,597	0,004	23,300	2,801	0,061	23,300	5,854	0,086	23,300	1,120	-0,606	23,300	0,987	-0,145
23,350	6,945	0,997	23,350	6,759	0,993	23,350	0,407	0,629				23,350	4,599	0,004	23,350	2,864	0,062	23,350	5,814	0,086	23,350	1,123	-0,612	23,350	0,987	-0,146
23,400	6,945	0,997	23,400	6,759	0,994	23,400	0,412	0,632				23,400	4,598	0,004	23,400	2,873	0,061	23,400	5,741	0,086	23,400	1,124	-0,620	23,400	0,987	-0,148
23,450	6,946	0,997	23,450	6,759	0,993	23,450	0,416	0,635				23,450	4,595	0,005	23,450	2,823	0,062	23,450	5,670	0,085	23,450	1,126	-0,627	23,450	0,987	-0,149
23,500	6,946	0,997	23,500	6,759	0,993	23,500	0,420	0,638				23,500	4,594	0,004	23,500	2,822	0,061	23,500	5,602	0,086	23,500	1,128	-0,634	23,500	0,988	-0,151
23,550	6,947	0,997	23,550	6,759	0,993	23,550	0,423	0,640				23,550	4,594	0,005	23,550	2,822	0,062	23,550	5,473	0,084	23,550	1,131	-0,641	23,550	0,987	-0,152
23,600	6,947	0,997	23,600	6,741	0,993	23,600	0,427	0,642				23,600	4,591	0,004	23,600	2,822	0,061	23,600	5,337	0,085	23,600	1,132	-0,648	23,600	0,987	-0,154
23,650	6,947	0,997	23,650	6,670	0,992	23,650	0,432	0,645				23,650	4,652	0,004	23,650	2,822	0,062	23,650	5,284	0,084	23,650	1,136	-0,654	23,650	0,987	-0,156
23,700	6,947	0,997	23,700	6,528	0,992	23,700	0,436	0,646				23,700	4,713	0,004	23,700	2,822	0,061	23,700	5,282	0,085	23,700	1,139	-0,661	23,700	0,987	-0,158
23,750	6,947	0,997	23,750	6,320	0,990	23,750	0,440	0,649				23,750	4,756	0,005	23,750	2,843	0,062	23,750	5,282	0,084	23,750	1,142	-0,667	23,750	0,987	-0,159
23,800	6,948	0,997	23,800	6,186	0,989	23,800	0,445	0,651				23,800	4,775	0,004	23,800	2,924	0,062	23,800	5,282	0,085	23,800	1,145	-0,674	23,800	0,987	-0,160
23,850	6,948	0,997	23,850	6,025	0,988	23,850	0,450	0,654				23,850	4,789	0,005	23,850	3,025	0,063	23,850	5,281	0,084	23,850	1,147	-0,680	23,850	0,987	-0,162
23,900	6,948	0,997	23,900	5,860	0,986	23,900	0,454	0,656				23,900	4,821	0,004	23,900	3,101	0,062	23,900	5,281	0,085	23,900	1,149	-0,686	23,900	0,987	-0,164
23,950	6,948	0,997	23,950	5,844	0,986	23,950	0,459	0,659				23,950	4,842	0,005	23,950	3,157	0,063	23,950	5,281	0,084	23,950	1,148	-0,692	23,950	0,987	-0,165
24,000	6,949	0,997	24,000	5,844	0,986	24,000	0,464	0,661				24,000	4,846	0,004	24,000	3,195	0,062	24,000	5,281	0,085	24,000	1,148	-0,698	24,000	0,987	-0,167
24,050	6,948	0,997	24,050	5,844	0,986	24,050	0,471	0,664				24,050	4,846	0,004	24,050	3,243	0,064	24,050	5,256	0,084	24,050	1,151	-0,704	24,050	0,986	-0,168
24,100	6,949	0,997	24,100	5,844	0,986	24,100	0,477	0,667				24,100	4,845	0,004	24,100	3,244	0,063	24,100	5,194	0,085	24,100	1,152	-0,710	24,100	0,987	-0,170
24,150	6,949	0,997	24,150	5,844	0,985	24,150	0,485	0,670				24,150	4,845	0,004	24,150	3,243	0,064	24,150	5,143	0,084	24,150	1,154	-0,716	24,150	0,987	-0,171
24,200	6,950	0,997	24,200	5,842	0,987	24,200	0,495	0,674				24,200	4,846	0,004	24,200	3,243	0,063	24,200	5,077	0,084	24,200	1,156	-0,722	24,200	0,988	-0,173
24,250	6,949	0,997	24,250	5,796	0,985	24,250	0,507	0,680				24,250	4,877	0,005	24,250	3,243	0,063	24,250	4,939	0,083	24,250	1,156	-0,727	24,250	0,987	-0,175
