Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Spannung, Ch B (V) Messreihe #1	Zeit (s) Messreihe #2	Spannung, Ch A (V) Messreihe #2	Spannung, Ch B (V) Messreihe #2	Zeit (s) Messreihe #3	Spannung, Ch A (V) Messreihe #3	Spannung, Ch B (V) Messreihe #3	Zeit (s) Messreihe #4	Spannung, Ch A (V) Messreihe #4	Spannung, Ch B (V) Messreihe #4	Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5	Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6	Zeit (s) Messreihe #7	Spannung, Ch A (V) Messreihe #7	Spannung, Ch B (V) Messreihe #7	Zeit (s) Messreihe #8	Spannung, Ch A (V) Messreihe #8	Spannung, Ch B (V) Messreihe #8	Zeit (s) Messreihe #9	Spannung, Ch A (V) Messreihe #9	Spannung, Ch B (V) Messreihe #9	Zeit (s) Messreihe #10	Spannung, Ch A (V) Messreihe #10	Spannung, Ch B (V) Messreihe #10	Zeit (s) Messreihe #11	Spannung, Ch A (V) Messreihe #11	Spannung, Ch B (V) Messreihe #11	Zeit (s) Messreihe #12	Spannung, Ch A (V) Messreihe #12	Spannung, Ch B (V) Messreihe #12	Zeit (s) Messreihe #13	Spannung, Ch A (V) Messreihe #13	Spannung, Ch B (V) Messreihe #13
5,840	1,340	0,078	5,840	1,553	0,089	5,840	1,569	0,105	5,840	1,656	0,100	5,840	1,642	0,693	5,840	1,638	0,390	5,840	1,627	0,396	5,840	1,671	0,215	5,840	1,627	0,198	5,840	1,574	0,158	5,840	1,575	0,106	5,840	1,593	0,303	5,840	1,617	0,318
5,860	1,345	0,078	5,860	1,559	0,090	5,860	1,574	0,105	5,860	1,662	0,099	5,860	1,648	0,702	5,860	1,644	0,396	5,860	1,632	0,391	5,860	1,678	0,218	5,860	1,633	0,202	5,860	1,579	0,160	5,860	1,581	0,105	5,860	1,599	0,307	5,860	1,623	0,323
5,880	1,351	0,079	5,880	1,565	0,090	5,880	1,581	0,107	5,880	1,668	0,099	5,880	1,653	0,712	5,880	1,650	0,402	5,880	1,639	0,407	5,880	1,683	0,220	5,880	1,640	0,204	5,880	1,585	0,161	5,880	1,586	0,108	5,880	1,605	0,312	5,880	1,628	0,328
5,900	1,357	0,079	5,900	1,570	0,090	5,900	1,585	0,107	5,900	1,674	0,102	5,900	1,659	0,722	5,900	1,656	0,407	5,900	1,644	0,413	5,900	1,689	0,223	5,900	1,645	0,207	5,900	1,591	0,164	5,900	1,593	0,108	5,900	1,611	0,316	5,900	1,635	0,333
5,920	1,363	0,080	5,920	1,576	0,092	5,920	1,592	0,108	5,920	1,680	0,101	5,920	1,665	0,703	5,920	1,662	0,413	5,920	1,650	0,419	5,920	1,695	0,227	5,920	1,651	0,210	5,920	1,597	0,165	5,920	1,599	0,109	5,920	1,617	0,321	5,920	1,641	0,338
5,940	1,369	0,080	5,940	1,582	0,092	5,940	1,598	0,109	5,940	1,685	0,103	5,940	1,671	0,734	5,940	1,667	0,419	5,940	1,656	0,425	5,940	1,701	0,230	5,940	1,657	0,212	5,940	1,603	0,167	5,940	1,604	0,111	5,940	1,623	0,326	5,940	1,646	0,342
5,960	1,375	0,081	5,960	1,588	0,093	5,960	1,603	0,109	5,960	1,692	0,105	5,960	1,677	0,751	5,960	1,673	0,425	5,960	1,662	0,432	5,960	1,707	0,232	5,960	1,663	0,215	5,960	1,609	0,170	5,960	1,610	0,111	5,960	1,628	0,330	5,960	1,652	0,347
5,980	1,380	0,081	5,980	1,594	0,093	5,980	1,609	0,111	5,980	1,697	0,103	5,980	1,682	0,762	5,980	1,679	0,431	5,980	1,668	0,438	5,980	1,713	0,236	5,980	1,668	0,218	5,980	1,615	0,171	5,980	1,616	0,112	5,980	1,634	0,335	5,980	1,658	0,353
6,000	1,386	0,081	6,000	1,599	0,094	6,000	1,615	0,112	6,000	1,703	0,106	6,000	1,689	0,773	6,000	1,685	0,437	6,000	1,674	0,444	6,000	1,719	0,238	6,000	1,674	0,220	6,000	1,621	0,174	6,000	1,622	0,114	6,000	1,640	0,340	6,000	1,664	0,357
6,020	1,392	0,082	6,020	1,605	0,094	6,020	1,622	0,113	6,020	1,709	0,106	6,020	1,695	0,784	6,020	1,692	0,444	6,020	1,680	0,450	6,020	1,725	0,242	6,020	1,680	0,224	6,020	1,626	0,176	6,020	1,628	0,113	6,020	1,646	0,345	6,020	1,670	0,362
6,040	1,398	0,082	6,040	1,612	0,095	6,040	1,627	0,113	6,040	1,715	0,107	6,040	1,700	0,794	6,040	1,697	0,450	6,040	1,685	0,457	6,040	1,730	0,245	6,040	1,687	0,227	6,040	1,633	0,178	6,040	1,634	0,115	6,040	1,652	0,350	6,040	1,675	0,367
6,060	1,404	0,083	6,060	1,617	0,096	6,060	1,633	0,114	6,060	1,721	0,110	6,060	1,706	0,805	6,060	1,703	0,456	6,060	1,692	0,463	6,060	1,737	0,248	6,060	1,692	0,230	6,060	1,638	0,180	6,060	1,639	0,116	6,060	1,658	0,355	6,060	1,682	0,372
6,080	1,410	0,084	6,080	1,623	0,097	6,080	1,639	0,115	6,080	1,727	0,107	6,080	1,712	0,817	6,080	1,708	0,462	6,080	1,697	0,470	6,080	1,742	0,251	6,080	1,698	0,233	6,080	1,644	0,182	6,080	1,646	0,117	6,080	1,663	0,359	6,080	1,687	0,378
6,100	1,416	0,084	6,100	1,629	0,097	6,100	1,645	0,116	6,100	1,733	0,110	6,100	1,718	0,828	6,100	1,715	0,470	6,100	1,703	0,476	6,100	1,748	0,254	6,100	1,704	0,235	6,100	1,650	0,185	6,100	1,651	0,118	6,100	1,669	0,365	6,100	1,693	0,383
6,120	1,422	0,084	6,120	1,635	0,098	6,120	1,651	0,116	6,120	1,739	0,112	6,120	1,723	0,838	6,120	1,720	0,476	6,120	1,709	0,483	6,120	1,754	0,257	6,120	1,710	0,239	6,120	1,656	0,188	6,120	1,657	0,118	6,120	1,675	0,370	6,120	1,699	0,388
6,140	1,428	0,085	6,140	1,641	0,099	6,140	1,656	0,117	6,140	1,745	0,111	6,140	1,730	0,849	6,140	1,727	0,483	6,140	1,715	0,490	6,140	1,760	0,260	6,140	1,716	0,232	6,140	1,662	0,190	6,140	1,663	0,120	6,140	1,681	0,376	6,140	1,705	0,395
6,160	1,434	0,085	6,160	1,646	0,100	6,160	1,662	0,118	6,160	1,751	0,115	6,160	1,736	0,860	6,160	1,732	0,489	6,160	1,721	0,496	6,160	1,766	0,263	6,160	1,722	0,240	6,160	1,668	0,192	6,160	1,669	0,121	6,160	1,687	0,381	6,160	1,711	0,399
6,180	1,440	0,086	6,180	1,652	0,100	6,180	1,668	0,119	6,180	1,757	0,114	6,180	1,741	0,871	6,180	1,738	0,496	6,180	1,727	0,503	6,180	1,771	0,266	6,180	1,728	0,247	6,180	1,673	0,195	6,180	1,675	0,122	6,180	1,693	0,386	6,180	1,717	0,405
6,200	1,445	0,086	6,200	1,658	0,101	6,200	1,674	0,120	6,200	1,762	0,115	6,200	1,747	0,882	6,200	1,744	0,502	6,200	1,733	0,510	6,200	1,778	0,269	6,200	1,733	0,251	6,200	1,679	0,197	6,200	1,680	0,123	6,200	1,699	0,392	6,200	1,723	0,411
6,220	1,451	0,087	6,220	1,664	0,102	6,220	1,680	0,121	6,220	1,768	0,117	6,220	1,753	0,893	6,220	1,750	0,511	6,220	1,738	0,533	6,220	1,783	0,272	6,220	1,739	0,254	6,220	1,685	0,200	6,220	1,686	0,124	6,220	1,705	0,397	6,220	1,729	0,416
6,240	1,457	0,088	6,240	1,670	0,103	6,240	1,686	0,121	6,240	1,774	0,115	6,240	1,759	0,903	6,240	1,756	0,536	6,240	1,744	0,530	6,240	1,789	0,275	6,240	1,745	0,257	6,240	1,691	0,202	6,240	1,692	0,125	6,240	1,710	0,402	6,240	1,734	0,423
6,260	1,463	0,088	6,260	1,676	0,103	6,260	1,691	0,122	6,260	1,780	0,118	6,260	1,765	0,915	6,260	1,762	0,524	6,260	1,750	0,531	6,260	1,795	0,277	6,260	1,751	0,260	6,260	1,697	0,205	6,260	1,698	0,127	6,260	1,717	0,409	6,260	1,740	0,427
6,280	1,469	0,089	6,280	1,682	0,104	6,280	1,697	0,123	6,280	1,786	0,119	6,280	1,771	0,925	6,280	1,768	0,529	6,280	1,756	0,537	6,280	1,801	0,280	6,280	1,757	0,263	6,280	1,702	0,207	6,280	1,704	0,127	6,280	1,722	0,414	6,280	1,746	0,433
6,300	1,475	0,089	6,300	1,688	0,106	6,300	1,703	0,124	6,300	1,791	0,118	6,300	1,777	0,935	6,300	1,773	0,535	6,300	1,762	0,544	6,300	1,807	0,282	6,300	1,763	0,267	6,300	1,709	0,209	6,300	1,710	0,129	6,300	1,728	0,419	6,300	1,752	0,440
6,320	1,480	0,090	6,320	1,693	0,106	6,320	1,709	0,125	6,320	1,798	0,122	6,320	1,782	0,944	6,320	1,779	0,542	6,320	1,768	0,551	6,320	1,813	0,283	6,320	1,769	0,270	6,320	1,714	0,213	6,320	1,716	0,130	6,320	1,734	0,425	6,320	1,758	0,444
6,340	1,487	0,091	6,340	1,700	0,107	6,340	1,715	0,126	6,340	1,803	0,120	6,340	1,788	0,953	6,340	1,785	0,547	6,340	1,774	0,557	6,340	1,819	0,285	6,340	1,774	0,273	6,340	1,720	0,215	6,340	1,722	0,131	6,340	1,740	0,431	6,340	1,764	0,451
6,360	1,493	0,091	6,360	1,705	0,107	6,360	1,721	0,127	6,360	1,810	0,122	6,360	1,794	0,961	6,360	1,791	0,553	6,360	1,780	0,563	6,360	1,825	0,287	6,360	1,780	0,275	6,360	1,727	0,218	6,360	1,728	0,133	6,360	1,746	0,441	6,360	1,770	0,456
6,380	1,498	0,092	6,380	1,711	0,108	6,380	1,727	0,128	6,380	1,815	0,123	6,380	1,800	0,969	6,380	1,797	0,558	6,380	1,786	0,568	6,380	1,831	0,288	6,380	1,786	0,278	6,380	1,733	0,221	6,380	1,733	0,133	6,380	1,752	0,449	6,380	1,776	0,460
6,400	1,504	0,092	6,400	1,717	0,110	6,400	1,733	0,129	6,400	1,821	0,121	6,400	1,806	0,976	6,400	1,803	0,563	6,400	1,791	0,573	6,400	1,837	0,289	6,400	1,792	0,281	6,400	1,738	0,223	6,400	1,739	0,135	6,400	1,758	0,449	6,400	1,781	0,466
6,420	1,510	0,093	6,420	1,723	0,111	6,420	1,739	0,130	6,420	1,827	0,124	6,420	1,812	0,982	6,420	1,808	0,567	6,420	1,797	0,578	6,420	1,842	0,290	6,420	1,798	0,283	6,420	1,744	0,226	6,420	1,745	0,137	6,420	1,764	0,454	6,420	1,787	0,470
6,440	1,516	0,094	6,440	1,729	0,111	6,440	1,744	0,131	6,440	1,833	0,124	6,440	1,818	0,986	6,440	1,814	0,571	6,440	1,803	0,583	6,440	1,849	0,290	6,440	1,803	0,285	6,440	1,750	0,229	6,440	1,751	0,137	6,440	1,769	0,459	6,440	1,793	0,474
6,460	1,522	0,094	6,460	1,735	0,112	6,460	1,750	0,132	6,460	1,838	0,123	6,460	1,823	0,990	6,460	1,820	0,574	6,460	1,809	0,587	6,460	1,854	0,290	6,460	1,810	0,288	6,460	1,756	0,231	6,460	1,757	0,139	6,460	1,775	0,464	6,460	1,799	0,479
6,480	1,528	0,095	6,480	1,741	0,113	6,480	1,756	0,133	6,480	1,844	0,126	6,480	1,830	0,993	6,480	1,826	0,577	6,480	1,815	0,591	6,480	1,859	0,290	6,480	1,815	0,289	6,480	1,761	0,234	6,480	1,763	0,140	6,480	1,781	0,469	6,480	1,804	0,482
6,500	1,533	0,096	6,500	1,747	0,114	6,500	1,762	0,134	6,500	1,851	0,124	6,500	1,835	0,994	6,500	1,832	0,580	6,500	1,821	0,594	6,500	1,866	0,291	6,500	1,821	0,291	6,500	1,767	0,237	6,500	1,769	0,141	6,500	1,787	0,474	6,500	1,811	0,486
6,520	1,539	0,096	6,520	1,753	0,115	6,520	1,768	0,134	6,520	1,857	0,126	6,520	1,841	0,996	6,520	1,838	0,580	6,520	1,827	0,596	6,520	1,871	0,291	6,520	1,827	0,271	6,520	1,774	0,239	6,520	1,775	0,143	6,520	1,793	0,479	6,520	1,817	0,489
6,540	1,545	0,097	6,540	1,758	0,115	6,540	1,774	0,136	6,540	1,862	0,127	6,540	1,847	0,995	6,540	1,844	0,582	6,540	1,832	0,597	6,540	1,877	0,291	6,540	1,833	0,290	6,540	1,779	0,243	6,540	1,780	0,143	6,540	1,799	0,483	6,540	1,822	0,491
6,560	1,551	0,098	6,560	1,764	0,117	6,560	1,780	0,137	6,560	1,868	0,125	6,560	1,853	0,994	6,560	1,850	0,582	6,560	1,839	0,599	6,560	1,883	0,291	6,560	1,839	0,293	6,560	1,785	0,244	6,560	1,786	0,145	6,560	1,805	0,487	6,560	1,828	0,494
6,580	1,556	0,098	6,580	1,770	0,117	6,580	1,786	0,138	6,580	1,873	0,127	6,580	1,859	0,993	6,580	1,855	0,582	6,580	1,844	0,596	6,580	1,888	0,291	6,580	1,845	0,294	6,580	1,791	0,247	6,580	1,792	0,146	6,580	1,810	0,489	6,580	1,834	0,495
6,600	1,562	0,099	6,600	1,776	0,118	6,600	1,791	0,138	6,600	1,879	0,126	6,600	1,865	0,991	6,600	1,861	0,564	6,600	1,850	0,580	6,600	1,894	0,291	6,600	1,850	0,294	6,600	1,797	0,250	6,600	1,798	0,146	6,600	1,816	0,493	6,600	1,840	0,496
6,620	1,568	0,100	6,620	1,782	0,119	6,620	1,798	0,139	6,620	1,885	0,126	6,620	1,870	0,989	6,620	1,867	0,577	6,620	1,856	0,597	6,620	1,900	0,291	6,620	1,856	0,294	6,620	1,803	0,251	6,620	1,804	0,148	6,620	1,822	0,495	6,620	1,846	0,497
6,640	1,574	0,100	6,640	1,788	0,120	6,640	1,803	0,140	6,640	1,891	0,129	6,640	1,876	0,987	6,640	1,873	0,581	6,640	1,861	0,597	6,640	1,906	0,291	6,640	1,863	0,295	6,640	1,809	0,254	6,640	1,810	0,148	6,640	1,827	0,497	6,640	1,852	0,497
6,660	1,580	0,101	6,660	1,794	0,121	6,660	1,809	0,140	6,660	1,896	0,125	6,660	1,881	0,985	6,660	1,878	0,581	6,660	1,867	0,597	6,660	1,912	0,291	6,660	1,868	0,294	6,660	1,814	0,254	6,660	1,815	0,149	6,660	1,834	0,499	6,660	1,858	0,498
6,680	1,586	0,102	6,680	1,800	0,122	6,680	1,815	0,141	6,680	1,902	0,128	6,680	1,887	0,983	6,680	1,884	0,581	6,680	1,873	0,597	6,680	1,918	0,291	6,680	1,874	0,294	6,680	1,821	0,257	6,680	1,821	0,150	6,680	1,840	0,500	6,680	1,863	0,496
6,700	1,592	0,103	6,700	1,805	0,122	6,700	1,821	0,141	6,700	1,908	0,129	6,700	1,893	0,980	6,700	1,890	0,580	6,700	1,879	0,596	6,700	1,923	0,290	6,700	1,879	0,295	6,700	1,826	0,258	6,700	1,828	0,151	6,700	1,845	0,500	6,700	1,869	0,497
6,720	1,598	0,104	6,720	1,811	0,123	6,720	1,827	0,141	6,720	1,914	0,126	6,720	1,899	0,977	6,720	1,896	0,579	6,720	1,884	0,595	6,720	1,929	0,290	6,720	1,885	0,295	6,720	1,832	0,259	6,720	1,833	0,151	6,720	1,851	0,501	6,720	1,875	0,497
6,740	1,603	0,104	6,740	1,817	0,123	6,740	1,832	0,142	6,740	1,920	0,130	6,740	1,905	0,975	6,740	1,902	0,579	6,740	1,890	0,594	6,740	1,935	0,288	6,740	1,891	0,294	6,740	1,838	0,260	6,740	1,839	0,152	6,740	1,858	0,480	6,740	1,880	0,495
6,760	1,609	0,105	6,760	1,823	0,124	6,760	1,838	0,142	6,760	1,926	0,128	6,760	1,911	0,972	6,760	1,908	0,578	6,760	1,896	0,593	6,760	1,941	0,288	6,760	1,896	0,294	6,760	1,844	0,260	6,760	1,845	0,151	6,760	1,864	0,497	6,760	1,886	0,496
6,780	1,615	0,106	6,780	1,829	0,125	6,780	1,844	0,142	6,780	1,932	0,127	6,780	1,916	0,968	6,780	1,913	0,577	6,780	1,902	0,592	6,780	1,947	0,287	6,780	1,903	0,294	6,780	1,849	0,260	6,780	1,851	0,153	6,780	1,869	0,499	6,780	1,892	0,496
6,800	1,621	0,106	6,800	1,835	0,125	6,800	1,850	0,143	6,800	1,938	0,131	6,800	1,922	0,965	6,800	1,919	0,577	6,800	1,908	0,591	6,800	1,952	0,285	6,800	1,908	0,294	6,800	1,856	0,261	6,800	1,856	0,152	6,800	1,875	0,499	6,800	1,898	0,494
6,820	1,627	0,107	6,820	1,840	0,125	6,820	1,856	0,143	6,820	1,943	0,127	6,820	1,928	0,961	6,820	1,925	0,575	6,820	1,914	0,589	6,820	1,959	0,285	6,820	1,914	0,294	6,820	1,862	0,261	6,820	1,862	0,153	6,820	1,880	0,498	6,820	1,903	0,494
6,840	1,633	0,108	6,840	1,846	0,126	6,840	1,862	0,143	6,840	1,949	0,129	6,840	1,934	0,956	6,840	1,931	0,573	6,840	1,919	0,587	6,840	1,964	0,283	6,840	1,920	0,293	6,840	1,867	0,262	6,840	1,868	0,153	6,840	1,886	0,498	6,840	1,910	0,493
6,860	1,639	0,109	6,860	1,853	0,126	6,860	1,867	0,143	6,860	1,955	0,129	6,860	1,940	0,951	6,860	1,936	0,571	6,860	1,925	0,586	6,860	1,971	0,282	6,860	1,926	0,294	6,860	1,873	0,263	6,860	1,874	0,153	6,860	1,892	0,497	6,860	1,915	0,491
6,880	1,645	0,110	6,880	1,858	0,126	6,880	1,874	0,144	6,880	1,961	0,127	6,880	1,946	0,944	6,880	1,942	0,568	6,880	1,931	0,582	6,880	1,976	0,280	6,880	1,932	0,302	6,880	1,878	0,262	6,880	1,880	0,154	6,880	1,898	0,497	6,880	1,921	0,491
6,900	1,650	0,111	6,900	1,864	0,126	6,900	1,878	0,143	6,900	1,967	0,130	6,900	1,952	0,938	6,900	1,949	0,565	6,900	1,937	0,580	6,900	1,982	0,278	6,900	1,938	0,294	6,900	1,884	0,262	6,900	1,885	0,154	6,900	1,903	0,496	6,900	1,927	0,489
6,920	1,656	0,112	6,920	1,870	0,127	6,920	1,885	0,144	6,920	1,972	0,128	6,920	1,957	0,931	6,920	1,955	0,563	6,920	1,943	0,578	6,920	1,988	0,276	6,920	1,944	0,291	6,920	1,889	0,262	6,920	1,891	0,154	6,920	1,909	0,495	6,920	1,933	0,488
6,940	1,662	0,112	6,940	1,876	0,127	6,940	1,890	0,143	6,940	1,979	0,128	6,940	1,964	0,924	6,940	1,960	0,559	6,940	1,949	0,574	6,940	1,994	0,274	6,940	1,950	0,289	6,940	1,896	0,262	6,940	1,897	0,155	6,940	1,915	0,495	6,940	1,939	0,485
6,960	1,668	0,113	6,960	1,881	0,128	6,960	1,896	0,144	6,960	1,984	0,130	6,960	1,970	0,916	6,960	1,966	0,560	6,960	1,955	0,571	6,960	2,000	0,273	6,960	1,955	0,287	6,960	1,901	0,262	6,960	1,902	0,154	6,960	1,921	0,493	6,960	1,945	0,483
6,980	1,674	0,114	6,980	1,887	0,128	6,980	1,902	0,144	6,980	1,990	0,126	6,980	1,975	0,907	6,980	1,972	0,558	6,980	1,961	0,567	6,980	2,006	0,270	6,980	1,961	0,287	6,980	1,907	0,262	6,980	1,908	0,154	6,980	1,927	0,491	6,980	1,951	0,481
7,000	1,680	0,115	7,000	1,893	0,128	7,000	1,908	0,144	7,000	1,996	0,128	7,000	1,981	0,897	7,000	1,978	0,548	7,000	1,967	0,563	7,000	2,012	0,268	7,000	1,967	0,285	7,000	1,913	0,261	7,000	1,914	0,155	7,000	1,933	0,490	7,000	1,956	0,478
7,020	1,686	0,116	7,020	1,899	0,128	7,020	1,914	0,144	7,020	2,002	0,128	7,020	1,987	0,914	7,020	1,983	0,542	7,020	1,972	0,558	7,020	2,017	0,265	7,020	1,973	0,283	7,020	1,919	0,262	7,020	1,920	0,154	7,020	1,939	0,488	7,020	1,962	0,475
7,040	1,692	0,117	7,040	1,904	0,128	7,040	1,920	0,144	7,040	2,007	0,125	7,040	1,993	0,901	7,040	1,990	0,538	7,040	1,978	0,553	7,040	2,023	0,263	7,040	1,979	0,282	7,040	1,925	0,262	7,040	1,926	0,155	7,040	1,944	0,485	7,040	1,968	0,472
7,060	1,697	0,117	7,060	1,910	0,128	7,060	1,925	0,144	7,060	2,014	0,129	7,060	1,999	0,871	7,060	1,996	0,532	7,060	1,984	0,548	7,060	2,029	0,260	7,060	1,985	0,280	7,060	1,931	0,262	7,060	1,932	0,155	7,060	1,950	0,483	7,060	1,974	0,467
7,080	1,703	0,118	7,080	1,916	0,129	7,080	1,931	0,144	7,080	2,019	0,125	7,080	2,005	0,858	7,080	2,001	0,528	7,080	1,990	0,542	7,080	2,035	0,258	7,080	1,990	0,278	7,080	1,937	0,260	7,080	1,937	0,154	7,080	1,956	0,481	7,080	1,980	0,465
7,100	1,709	0,119	7,100	1,922	0,129	7,100	1,937	0,144	7,100	2,025	0,126	7,100	2,010	0,847	7,100	2,007	0,522	7,100	1,996	0,537	7,100	2,041	0,255	7,100	1,997	0,276	7,100	1,943	0,259	7,100	1,943	0,155	7,100	1,962	0,477	7,100	1,986	0,461
7,120	1,715	0,120	7,120	1,928	0,129	7,120	1,943	0,143	7,120	2,031	0,127	7,120	2,016	0,836	7,120	2,013	0,516	7,120	2,002	0,531	7,120	2,047	0,253	7,120	2,002	0,273	7,120	1,949	0,260	7,120	1,949	0,154	7,120	1,968	0,474	7,120	1,992	0,456
7,140	1,721	0,121	7,140	1,934	0,129	7,140	1,949	0,144	7,140	2,037	0,123	7,140	2,022	0,824	7,140	2,019	0,510	7,140	2,007	0,525	7,140	2,052	0,250	7,140	2,008	0,271	7,140	1,954	0,258	7,140	1,955	0,154	7,140	1,974	0,471	7,140	1,997	0,452
7,160	1,727	0,122	7,160	1,940	0,129	7,160	1,955	0,144	7,160	2,043	0,126	7,160	2,028	0,812	7,160	2,025	0,504	7,160	2,013	0,519	7,160	2,059	0,247	7,160	2,014	0,268	7,160	1,960	0,257	7,160	1,961	0,154	7,160	1,980	0,467	7,160	2,003	0,447
7,180	1,733	0,123	7,180	1,946	0,129	7,180	1,961	0,143	7,180	2,049	0,125	7,180	2,034	0,800	7,180	2,031	0,498	7,180	2,019	0,513	7,180	2,064	0,245	7,180	2,020	0,266	7,180	1,966	0,256	7,180	1,967	0,154	7,180	1,986	0,463	7,180	2,009	0,443
7,200	1,738	0,124	7,200	1,951	0,129	7,200	1,966	0,143	7,200	2,055	0,123	7,200	2,040	0,788	7,200	2,037	0,491	7,200	2,025	0,506	7,200	2,070	0,242	7,200	2,026	0,264	7,200	1,972	0,254	7,200	1,973	0,153	7,200	1,991	0,459	7,200	2,015	0,438
7,220	1,744	0,125	7,220	1,957	0,128	7,220	1,972	0,142	7,220	2,060	0,126	7,220	2,046	0,776	7,220	2,043	0,485	7,220	2,031	0,500	7,220	2,076	0,239	7,220	2,032	0,262	7,220	1,978	0,253	7,220	1,978	0,152	7,220	1,997	0,454	7,220	2,021	0,433
7,240	1,750	0,126	7,240	1,963	0,129	7,240	1,978	0,142	7,240	2,066	0,122	7,240	2,052	0,764	7,240	2,048	0,478	7,240	2,037	0,493	7,240	2,082	0,236	7,240	2,037	0,259	7,240	1,984	0,251	7,240	1,985	0,152	7,240	2,003	0,450	7,240	2,026	0,428
7,260	1,756	0,127	7,260	1,969	0,129	7,260	1,984	0,142	7,260	2,072	0,123	7,260	2,057	0,752	7,260	2,054	0,471	7,260	2,043	0,487	7,260	2,088	0,234	7,260	2,043	0,256	7,260	1,990	0,250	7,260	1,991	0,152	7,260	2,009	0,445	7,260	2,032	0,422
7,280	1,762	0,128	7,280	1,975	0,129	7,280	1,990	0,142	7,280	2,078	0,124	7,280	2,063	0,739	7,280	2,060	0,465	7,280	2,049	0,480	7,280	2,094	0,231	7,280	2,049	0,254	7,280	1,995	0,248	7,280	1,996	0,151	7,280	2,015	0,440	7,280	2,038	0,417
7,300	1,767	0,128	7,300	1,980	0,128	7,300	1,996	0,141	7,300	2,084	0,120	7,300	2,069	0,726	7,300	2,066	0,458	7,300	2,054	0,473	7,300	2,099	0,228	7,300	2,055	0,251	7,300	2,001	0,246	7,300	2,002	0,151	7,300	2,021	0,435	7,300	2,044	0,412
7,320	1,774	0,129	7,320	1,986	0,128	7,320	2,001	0,141	7,320	2,090	0,123	7,320	2,075	0,714	7,320	2,072	0,451	7,320	2,061	0,473	7,320	2,105	0,226	7,320	2,061	0,248	7,320	2,007	0,245	7,320	2,008	0,150	7,320	2,027	0,430	7,320	2,050	0,406
7,340	1,780	0,130	7,340	1,993	0,128	7,340	2,008	0,140	7,340	2,096	0,121	7,340	2,081	0,702	7,340	2,078	0,455	7,340	2,066	0,465	7,340	2,111	0,223	7,340	2,067	0,246	7,340	2,013	0,243	7,340	2,013	0,148	7,340	2,032	0,424	7,340	2,056	0,401
7,360	1,786	0,131	7,360	1,998	0,128	7,360	2,013	0,140	7,360	2,101	0,119	7,360	2,087	0,690	7,360	2,083	0,439	7,360	2,072	0,453	7,360	2,117	0,220	7,360	2,072	0,243	7,360	2,019	0,240	7,360	2,020	0,149	7,360	2,038	0,419	7,360	2,062	0,396
7,380	1,792	0,132	7,380	2,004	0,127	7,380	2,019	0,139	7,380	2,108	0,122	7,380	2,093	0,679	7,380	2,090	0,431	7,380	2,078	0,446	7,380	2,123	0,217	7,380	2,078	0,240	7,380	2,024	0,239	7,380	2,025	0,148	7,380	2,044	0,413	7,380	2,068	0,390
7,400	1,797	0,132	7,400	2,010	0,127	7,400	2,025	0,139	7,400	2,113	0,118	7,400	2,099	0,703	7,400	2,095	0,424	7,400	2,083	0,439	7,400	2,128	0,213	7,400	2,084	0,237	7,400	2,030	0,236	7,400	2,031	0,147	7,400	2,050	0,408	7,400	2,074	0,385
7,420	1,803	0,133	7,420	2,016	0,127	7,420	2,031	0,138	7,420	2,120	0,120	7,420	2,104	0,656	7,420	2,101	0,417	7,420	2,089	0,432	7,420	2,134	0,211	7,420	2,090	0,234	7,420	2,037	0,234	7,420	2,037	0,147	7,420	2,056	0,403	7,420	2,080	0,379
7,440	1,809	0,134	7,440	2,021	0,126	7,440	2,037	0,138	7,440	2,125	0,119	7,440	2,110	0,640	7,440	2,107	0,410	7,440	2,096	0,425	7,440	2,140	0,208	7,440	2,096	0,231	7,440	2,042	0,233	7,440	2,043	0,146	7,440	2,062	0,398	7,440	2,085	0,373
7,460	1,815	0,135	7,460	2,028	0,126	7,460	2,043	0,138	7,460	2,131	0,116	7,460	2,116	0,627	7,460	2,113	0,402	7,460	2,102	0,418	7,460	2,147	0,205	7,460	2,102	0,229	7,460	2,048	0,230	7,460	2,049	0,146	7,460	2,067	0,395	7,460	2,091	0,368
7,480	1,820	0,134	7,480	2,034	0,126	7,480	2,049	0,137	7,480	2,137	0,119	7,480	2,122	0,614	7,480	2,118	0,395	7,480	2,108	0,412	7,480	2,152	0,202	7,480	2,108	0,226	7,480	2,054	0,228	7,480	2,055	0,145	7,480	2,074	0,444	7,480	2,097	0,362
7,500	1,827	0,135	7,500	2,039	0,125	7,500	2,054	0,136	7,500	2,143	0,116	7,500	2,128	0,601	7,500	2,124	0,388	7,500	2,113	0,404	7,500	2,158	0,199	7,500	2,114	0,223	7,500	2,060	0,225	7,500	2,061	0,143	7,500	2,080	0,388	7,500	2,103	0,356
7,520	1,832	0,135	7,520	2,045	0,124	7,520	2,060	0,136	7,520	2,148	0,115	7,520	2,134	0,588	7,520	2,131	0,381	7,520	2,119	0,396	7,520	2,164	0,196	7,520	2,119	0,220	7,520	2,066	0,223	7,520	2,067	0,143	7,520	2,085	0,377	7,520	2,109	0,351
