Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Spannung, Ch B (V) Messreihe #1	Zeit (s) Messreihe #2	Spannung, Ch A (V) Messreihe #2	Spannung, Ch B (V) Messreihe #2	Zeit (s) Messreihe #3	Spannung, Ch A (V) Messreihe #3	Spannung, Ch B (V) Messreihe #3	Zeit (s) Messreihe #4	Spannung, Ch A (V) Messreihe #4	Spannung, Ch B (V) Messreihe #4	Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5	Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6	Zeit (s) Messreihe #7	Spannung, Ch A (V) Messreihe #7	Spannung, Ch B (V) Messreihe #7	Zeit (s) Messreihe #8	Spannung, Ch A (V) Messreihe #8	Spannung, Ch B (V) Messreihe #8	Zeit (s) Messreihe #9	Spannung, Ch A (V) Messreihe #9	Spannung, Ch B (V) Messreihe #9	Zeit (s) Messreihe #10	Spannung, Ch A (V) Messreihe #10	Spannung, Ch B (V) Messreihe #10	Zeit (s) Messreihe #11	Spannung, Ch A (V) Messreihe #11	Spannung, Ch B (V) Messreihe #11	Zeit (s) Messreihe #12	Spannung, Ch A (V) Messreihe #12	Spannung, Ch B (V) Messreihe #12	Zeit (s) Messreihe #13	Spannung, Ch A (V) Messreihe #13	Spannung, Ch B (V) Messreihe #13	Zeit (s) Messreihe #14	Spannung, Ch A (V) Messreihe #14	Spannung, Ch B (V) Messreihe #14	Zeit (s) Messreihe #15	Spannung, Ch A (V) Messreihe #15	Spannung, Ch B (V) Messreihe #15
3,320	0,685	0,079	3,320	0,695	0,073	3,320	0,705	0,078	3,320	0,635	0,078	3,320	0,633	0,077	3,320	0,672	0,072	3,320	0,667	0,073	3,320	0,765	0,072	3,320	0,735	0,083	3,320	0,755	0,098	3,320	0,783	0,269	3,320	0,716	0,210	3,320	0,669	0,259	3,320	0,690	0,577	3,320	0,596	0,218
3,340	0,691	0,101	3,340	0,700	0,073	3,340	0,710	0,079	3,340	0,640	0,078	3,340	0,638	0,079	3,340	0,677	0,071	3,340	0,672	0,069	3,340	0,770	0,072	3,340	0,740	0,103	3,340	0,761	0,099	3,340	0,788	0,271	3,340	0,721	0,218	3,340	0,675	0,270	3,340	0,695	0,603	3,340	0,601	0,227
3,360	0,696	0,081	3,360	0,706	0,074	3,360	0,715	0,079	3,360	0,645	0,079	3,360	0,644	0,079	3,360	0,682	0,072	3,360	0,678	0,072	3,360	0,776	0,073	3,360	0,746	0,083	3,360	0,766	0,101	3,360	0,794	0,265	3,360	0,726	0,183	3,360	0,680	0,282	3,360	0,701	0,628	3,360	0,606	0,236
3,380	0,702	0,081	3,380	0,711	0,074	3,380	0,720	0,080	3,380	0,651	0,079	3,380	0,649	0,078	3,380	0,688	0,072	3,380	0,683	0,070	3,380	0,782	0,085	3,380	0,751	0,092	3,380	0,771	0,103	3,380	0,799	0,275	3,380	0,731	0,226	3,380	0,685	0,294	3,380	0,706	0,655	3,380	0,612	0,246
3,400	0,707	0,080	3,400	0,717	0,074	3,400	0,725	0,080	3,400	0,656	0,080	3,400	0,655	0,079	3,400	0,693	0,073	3,400	0,688	0,070	3,400	0,787	0,075	3,400	0,756	0,091	3,400	0,776	0,105	3,400	0,805	0,253	3,400	0,737	0,241	3,400	0,690	0,306	3,400	0,711	0,684	3,400	0,617	0,258
3,420	0,713	0,081	3,420	0,722	0,074	3,420	0,731	0,081	3,420	0,661	0,080	3,420	0,660	0,080	3,420	0,698	0,073	3,420	0,694	0,071	3,420	0,792	0,075	3,420	0,761	0,099	3,420	0,782	0,108	3,420	0,810	0,295	3,420	0,743	0,253	3,420	0,696	0,319	3,420	0,717	0,712	3,420	0,622	0,266
3,440	0,717	0,080	3,440	0,727	0,075	3,440	0,737	0,083	3,440	0,667	0,080	3,440	0,665	0,080	3,440	0,704	0,073	3,440	0,699	0,071	3,440	0,798	0,075	3,440	0,767	0,098	3,440	0,787	0,114	3,440	0,815	0,316	3,440	0,748	0,263	3,440	0,701	0,334	3,440	0,723	0,741	3,440	0,627	0,281
3,460	0,723	0,082	3,460	0,733	0,076	3,460	0,741	0,083	3,460	0,672	0,081	3,460	0,671	0,079	3,460	0,709	0,074	3,460	0,705	0,072	3,460	0,803	0,076	3,460	0,772	0,105	3,460	0,793	0,113	3,460	0,820	0,317	3,460	0,753	0,274	3,460	0,707	0,349	3,460	0,728	0,770	3,460	0,632	0,294
3,480	0,729	0,083	3,480	0,738	0,076	3,480	0,747	0,083	3,480	0,678	0,076	3,480	0,676	0,080	3,480	0,715	0,075	3,480	0,710	0,072	3,480	0,809	0,077	3,480	0,777	0,109	3,480	0,798	0,115	3,480	0,826	0,329	3,480	0,758	0,285	3,480	0,712	0,364	3,480	0,733	0,799	3,480	0,638	0,309
3,500	0,734	0,083	3,500	0,743	0,077	3,500	0,752	0,084	3,500	0,683	0,080	3,500	0,681	0,076	3,500	0,720	0,075	3,500	0,715	0,072	3,500	0,814	0,077	3,500	0,783	0,112	3,500	0,803	0,117	3,500	0,831	0,341	3,500	0,764	0,297	3,500	0,717	0,380	3,500	0,739	0,829	3,500	0,643	0,325
3,520	0,740	0,084	3,520	0,749	0,081	3,520	0,758	0,086	3,520	0,689	0,062	3,520	0,687	0,079	3,520	0,725	0,076	3,520	0,720	0,072	3,520	0,819	0,078	3,520	0,788	0,114	3,520	0,809	0,120	3,520	0,837	0,354	3,520	0,769	0,309	3,520	0,723	0,397	3,520	0,744	0,855	3,520	0,648	0,339
3,540	0,744	0,084	3,540	0,755	0,081	3,540	0,763	0,086	3,540	0,694	0,077	3,540	0,692	0,079	3,540	0,730	0,076	3,540	0,725	0,073	3,540	0,825	0,078	3,540	0,794	0,132	3,540	0,814	0,171	3,540	0,842	0,368	3,540	0,774	0,322	3,540	0,728	0,414	3,540	0,749	0,885	3,540	0,654	0,355
3,560	0,750	0,085	3,560	0,760	0,081	3,560	0,768	0,088	3,560	0,700	0,081	3,560	0,697	0,096	3,560	0,736	0,077	3,560	0,731	0,074	3,560	0,829	0,079	3,560	0,799	0,115	3,560	0,819	0,138	3,560	0,847	0,382	3,560	0,780	0,336	3,560	0,734	0,431	3,560	0,754	0,915	3,560	0,659	0,372
3,580	0,755	0,086	3,580	0,765	0,072	3,580	0,774	0,089	3,580	0,705	0,082	3,580	0,703	0,088	3,580	0,741	0,077	3,580	0,737	0,074	3,580	0,835	0,080	3,580	0,804	0,121	3,580	0,825	0,133	3,580	0,853	0,395	3,580	0,785	0,350	3,580	0,739	0,450	3,580	0,760	0,929	3,580	0,665	0,390
3,600	0,761	0,087	3,600	0,770	0,078	3,600	0,779	0,090	3,600	0,710	0,082	3,600	0,708	0,082	3,600	0,746	0,078	3,600	0,742	0,074	3,600	0,840	0,080	3,600	0,810	0,124	3,600	0,830	0,136	3,600	0,858	0,408	3,600	0,790	0,363	3,600	0,744	0,476	3,600	0,765	0,946	3,600	0,670	0,409
3,620	0,766	0,088	3,620	0,776	0,083	3,620	0,785	0,092	3,620	0,715	0,083	3,620	0,714	0,082	3,620	0,752	0,079	3,620	0,747	0,075	3,620	0,846	0,073	3,620	0,815	0,132	3,620	0,836	0,139	3,620	0,863	0,421	3,620	0,796	0,378	3,620	0,749	0,490	3,620	0,771	0,961	3,620	0,675	0,429
3,640	0,771	0,089	3,640	0,781	0,084	3,640	0,790	0,093	3,640	0,721	0,084	3,640	0,719	0,083	3,640	0,757	0,080	3,640	0,753	0,076	3,640	0,851	0,079	3,640	0,821	0,143	3,640	0,841	0,142	3,640	0,869	0,435	3,640	0,801	0,393	3,640	0,755	0,510	3,640	0,776	0,974	3,640	0,681	0,449
3,660	0,777	0,090	3,660	0,787	0,085	3,660	0,795	0,094	3,660	0,726	0,085	3,660	0,724	0,085	3,660	0,763	0,081	3,660	0,758	0,077	3,660	0,857	0,080	3,660	0,826	0,147	3,660	0,846	0,146	3,660	0,874	0,446	3,660	0,807	0,409	3,660	0,760	0,530	3,660	0,782	0,984	3,660	0,686	0,471
3,680	0,783	0,083	3,680	0,792	0,086	3,680	0,801	0,096	3,680	0,731	0,084	3,680	0,730	0,085	3,680	0,768	0,082	3,680	0,763	0,077	3,680	0,862	0,082	3,680	0,831	0,132	3,680	0,852	0,151	3,680	0,879	0,458	3,680	0,812	0,424	3,680	0,765	0,552	3,680	0,787	0,989	3,680	0,691	0,492
3,700	0,788	0,088	3,700	0,797	0,088	3,700	0,806	0,098	3,700	0,737	0,087	3,700	0,735	0,085	3,700	0,773	0,083	3,700	0,769	0,075	3,700	0,867	0,083	3,700	0,836	0,174	3,700	0,857	0,154	3,700	0,885	0,466	3,700	0,818	0,443	3,700	0,771	0,573	3,700	0,792	0,993	3,700	0,697	0,515
3,720	0,793	0,093	3,720	0,803	0,089	3,720	0,811	0,100	3,720	0,742	0,091	3,720	0,740	0,087	3,720	0,779	0,084	3,720	0,774	0,065	3,720	0,873	0,084	3,720	0,842	0,138	3,720	0,862	0,158	3,720	0,890	0,473	3,720	0,823	0,458	3,720	0,776	0,589	3,720	0,797	0,994	3,720	0,702	0,539
3,740	0,798	0,094	3,740	0,808	0,089	3,740	0,817	0,106	3,740	0,747	0,089	3,740	0,746	0,089	3,740	0,785	0,085	3,740	0,780	0,082	3,740	0,878	0,085	3,740	0,847	0,166	3,740	0,868	0,162	3,740	0,896	0,491	3,740	0,828	0,469	3,740	0,781	0,615	3,740	0,803	0,995	3,740	0,707	0,563
3,760	0,804	0,097	3,760	0,813	0,091	3,760	0,822	0,106	3,760	0,753	0,090	3,760	0,751	0,089	3,760	0,790	0,092	3,760	0,785	0,081	3,760	0,883	0,085	3,760	0,853	0,158	3,760	0,873	0,167	3,760	0,901	0,491	3,760	0,833	0,482	3,760	0,787	0,636	3,760	0,808	0,995	3,760	0,713	0,589
3,780	0,809	0,098	3,780	0,819	0,093	3,780	0,827	0,107	3,780	0,758	0,091	3,780	0,756	0,090	3,780	0,795	0,092	3,780	0,790	0,082	3,780	0,889	0,087	3,780	0,858	0,163	3,780	0,878	0,171	3,780	0,906	0,490	3,780	0,839	0,496	3,780	0,793	0,655	3,780	0,814	0,988	3,780	0,718	0,615
3,800	0,815	0,100	3,800	0,824	0,095	3,800	0,832	0,109	3,800	0,764	0,093	3,800	0,762	0,091	3,800	0,800	0,095	3,800	0,796	0,083	3,800	0,894	0,088	3,800	0,863	0,188	3,800	0,884	0,177	3,800	0,911	0,489	3,800	0,844	0,507	3,800	0,798	0,671	3,800	0,819	0,983	3,800	0,724	0,642
3,820	0,820	0,098	3,820	0,830	0,096	3,820	0,838	0,113	3,820	0,769	0,094	3,820	0,767	0,093	3,820	0,806	0,093	3,820	0,801	0,085	3,820	0,899	0,090	3,820	0,868	0,172	3,820	0,889	0,182	3,820	0,917	0,486	3,820	0,850	0,516	3,820	0,804	0,687	3,820	0,824	0,978	3,820	0,728	0,668
3,840	0,825	0,102	3,840	0,835	0,098	3,840	0,844	0,115	3,840	0,774	0,095	3,840	0,772	0,086	3,840	0,811	0,094	3,840	0,806	0,089	3,840	0,905	0,092	3,840	0,874	0,175	3,840	0,894	0,187	3,840	0,922	0,470	3,840	0,855	0,522	3,840	0,808	0,700	3,840	0,830	0,971	3,840	0,734	0,695
3,860	0,831	0,104	3,860	0,840	0,100	3,860	0,849	0,117	3,860	0,780	0,100	3,860	0,778	0,056	3,860	0,817	0,096	3,860	0,812	0,089	3,860	0,910	0,093	3,860	0,879	0,182	3,860	0,900	0,193	3,860	0,928	0,475	3,860	0,860	0,527	3,860	0,814	0,711	3,860	0,835	0,963	3,860	0,740	0,722
3,880	0,836	0,106	3,880	0,845	0,101	3,880	0,855	0,141	3,880	0,785	0,101	3,880	0,783	0,086	3,880	0,822	0,097	3,880	0,817	0,091	3,880	0,916	0,095	3,880	0,885	0,187	3,880	0,905	0,185	3,880	0,933	0,473	3,880	0,866	0,528	3,880	0,820	0,718	3,880	0,841	0,954	3,880	0,745	0,748
3,900	0,842	0,108	3,900	0,851	0,104	3,900	0,859	0,154	3,900	0,791	0,101	3,900	0,789	0,098	3,900	0,827	0,100	3,900	0,822	0,092	3,900	0,921	0,097	3,900	0,891	0,194	3,900	0,910	0,189	3,900	0,938	0,464	3,900	0,871	0,529	3,900	0,824	0,721	3,900	0,846	0,920	3,900	0,750	0,776
3,920	0,847	0,111	3,920	0,856	0,115	3,920	0,865	0,130	3,920	0,796	0,103	3,920	0,794	0,084	3,920	0,833	0,102	3,920	0,828	0,095	3,920	0,926	0,098	3,920	0,896	0,199	3,920	0,916	0,207	3,920	0,943	0,454	3,920	0,877	0,528	3,920	0,830	0,723	3,920	0,851	0,926	3,920	0,756	0,795
3,940	0,852	0,113	3,940	0,862	0,130	3,940	0,870	0,130	3,940	0,801	0,104	3,940	0,799	0,099	3,940	0,838	0,103	3,940	0,834	0,096	3,940	0,932	0,100	3,940	0,900	0,204	3,940	0,921	0,213	3,940	0,949	0,459	3,940	0,882	0,524	3,940	0,835	0,732	3,940	0,856	0,919	3,940	0,762	0,815
3,960	0,858	0,116	3,960	0,867	0,113	3,960	0,876	0,132	3,960	0,806	0,106	3,960	0,805	0,104	3,960	0,843	0,105	3,960	0,839	0,098	3,960	0,936	0,102	3,960	0,906	0,209	3,960	0,926	0,218	3,960	0,954	0,439	3,960	0,887	0,519	3,960	0,841	0,724	3,960	0,862	0,908	3,960	0,767	0,834
3,980	0,863	0,118	3,980	0,872	0,114	3,980	0,881	0,136	3,980	0,812	0,108	3,980	0,810	0,106	3,980	0,849	0,107	3,980	0,844	0,100	3,980	0,942	0,104	3,980	0,912	0,214	3,980	0,932	0,223	3,980	0,959	0,440	3,980	0,893	0,512	3,980	0,846	0,716	3,980	0,867	0,895	3,980	0,772	0,848
4,000	0,868	0,122	4,000	0,878	0,117	4,000	0,887	0,139	4,000	0,817	0,109	4,000	0,816	0,108	4,000	0,854	0,114	4,000	0,849	0,102	4,000	0,947	0,106	4,000	0,917	0,198	4,000	0,937	0,227	4,000	0,964	0,428	4,000	0,898	0,505	4,000	0,851	0,709	4,000	0,873	0,883	4,000	0,777	0,860
4,020	0,874	0,131	4,020	0,883	0,119	4,020	0,892	0,142	4,020	0,823	0,112	4,020	0,821	0,109	4,020	0,859	0,112	4,020	0,854	0,104	4,020	0,953	0,108	4,020	0,922	0,219	4,020	0,942	0,231	4,020	0,970	0,421	4,020	0,903	0,498	4,020	0,857	0,702	4,020	0,878	0,869	4,020	0,783	0,870
4,040	0,879	0,155	4,040	0,888	0,122	4,040	0,897	0,146	4,040	0,828	0,121	4,040	0,826	0,117	4,040	0,865	0,114	4,040	0,860	0,106	4,040	0,958	0,110	4,040	0,927	0,216	4,040	0,947	0,235	4,040	0,975	0,412	4,040	0,908	0,491	4,040	0,863	0,695	4,040	0,883	0,857	4,040	0,788	0,877
4,060	0,885	0,136	4,060	0,894	0,125	4,060	0,903	0,150	4,060	0,833	0,119	4,060	0,831	0,116	4,060	0,870	0,117	4,060	0,865	0,132	4,060	0,963	0,114	4,060	0,933	0,228	4,060	0,953	0,236	4,060	0,981	0,403	4,060	0,914	0,475	4,060	0,868	0,686	4,060	0,889	0,843	4,060	0,793	0,880
4,080	0,890	0,136	4,080	0,899	0,128	4,080	0,908	0,154	4,080	0,839	0,111	4,080	0,837	0,119	4,080	0,875	0,119	4,080	0,871	0,119	4,080	0,969	0,143	4,080	0,938	0,244	4,080	0,958	0,237	4,080	0,986	0,395	4,080	0,919	0,472	4,080	0,873	0,678	4,080	0,894	0,829	4,080	0,799	0,883
4,100	0,895	0,140	4,100	0,904	0,132	4,100	0,914	0,158	4,100	0,844	0,093	4,100	0,842	0,120	4,100	0,881	0,122	4,100	0,876	0,115	4,100	0,974	0,119	4,100	0,943	0,241	4,100	0,963	0,237	4,100	0,992	0,388	4,100	0,925	0,465	4,100	0,878	0,667	4,100	0,899	0,815	4,100	0,804	0,883
4,120	0,901	0,144	4,120	0,910	0,135	4,120	0,919	0,162	4,120	0,849	0,142	4,120	0,848	0,122	4,120	0,886	0,125	4,120	0,882	0,117	4,120	0,980	0,121	4,120	0,948	0,250	4,120	0,969	0,236	4,120	0,997	0,379	4,120	0,930	0,456	4,120	0,884	0,658	4,120	0,904	0,800	4,120	0,809	0,881
4,140	0,906	0,147	4,140	0,915	0,138	4,140	0,924	0,166	4,140	0,855	0,404	4,140	0,853	0,126	4,140	0,891	0,127	4,140	0,887	0,121	4,140	0,985	0,123	4,140	0,954	0,274	4,140	0,974	0,233	4,140	1,002	0,370	4,140	0,935	0,448	4,140	0,889	0,648	4,140	0,910	0,787	4,140	0,815	0,879
4,160	0,911	0,152	4,160	0,921	0,143	4,160	0,930	0,171	4,160	0,861	0,479	4,160	0,858	0,128	4,160	0,897	0,131	4,160	0,892	0,124	4,160	0,990	0,130	4,160	0,959	0,246	4,160	0,980	0,232	4,160	1,008	0,362	4,160	0,940	0,440	4,160	0,894	0,637	4,160	0,915	0,774	4,160	0,820	0,875
4,180	0,917	0,156	4,180	0,926	0,146	4,180	0,934	0,174	4,180	0,866	0,472	4,180	0,864	0,132	4,180	0,903	0,134	4,180	0,898	0,127	4,180	0,995	0,128	4,180	0,965	0,231	4,180	0,985	0,229	4,180	1,013	0,355	4,180	0,946	0,432	4,180	0,900	0,626	4,180	0,921	0,762	4,180	0,825	0,870
4,200	0,922	0,160	4,200	0,931	0,149	4,200	0,940	0,180	4,200	0,871	0,215	4,200	0,869	0,135	4,200	0,908	0,137	4,200	0,903	0,130	4,200	1,000	0,130	4,200	0,969	0,241	4,200	0,990	0,225	4,200	1,018	0,350	4,200	0,951	0,423	4,200	0,905	0,616	4,200	0,926	0,748	4,200	0,830	0,864
4,220	0,927	0,164	4,220	0,936	0,153	4,220	0,945	0,186	4,220	0,876	0,170	4,220	0,874	0,137	4,220	0,913	0,140	4,220	0,908	0,134	4,220	1,006	0,131	4,220	0,975	0,265	4,220	0,996	0,221	4,220	1,023	0,341	4,220	0,956	0,413	4,220	0,910	0,606	4,220	0,931	0,736	4,220	0,836	0,856
4,240	0,933	0,169	4,240	0,941	0,158	4,240	0,950	0,183	4,240	0,882	0,152	4,240	0,880	0,141	4,240	0,918	0,144	4,240	0,914	0,137	4,240	1,012	0,132	4,240	0,980	0,240	4,240	1,001	0,203	4,240	1,029	0,334	4,240	0,962	0,406	4,240	0,916	0,595	4,240	0,937	0,744	4,240	0,841	0,848
4,260	0,937	0,174	4,260	0,947	0,162	4,260	0,956	0,193	4,260	0,887	0,152	4,260	0,886	0,173	4,260	0,924	0,148	4,260	0,919	0,140	4,260	1,017	0,133	4,260	0,986	0,243	4,260	1,007	0,211	4,260	1,034	0,327	4,260	0,967	0,399	4,260	0,921	0,585	4,260	0,942	0,733	4,260	0,847	0,840
4,280	0,943	0,178	4,280	0,952	0,172	4,280	0,961	0,199	4,280	0,893	0,155	4,280	0,891	0,159	4,280	0,929	0,152	4,280	0,924	0,143	4,280	1,022	0,132	4,280	0,991	0,276	4,280	1,012	0,208	4,280	1,039	0,320	4,280	0,973	0,391	4,280	0,926	0,577	4,280	0,946	0,707	4,280	0,852	0,829
4,300	0,948	0,184	4,300	0,958	0,173	4,300	0,967	0,203	4,300	0,898	0,158	4,300	0,896	0,154	4,300	0,934	0,156	4,300	0,930	0,147	4,300	1,027	0,132	4,300	0,997	0,229	4,300	1,017	0,203	4,300	1,045	0,315	4,300	0,978	0,382	4,300	0,931	0,539	4,300	0,953	0,698	4,300	0,857	0,817
4,320	0,954	0,192	4,320	0,963	0,176	4,320	0,972	0,203	4,320	0,903	0,162	4,320	0,901	0,156	4,320	0,939	0,160	4,320	0,935	0,151	4,320	1,032	0,130	4,320	1,002	0,239	4,320	1,022	0,199	4,320	1,050	0,309	4,320	0,983	0,374	4,320	0,937	0,551	4,320	0,957	0,687	4,320	0,863	0,807
4,340	0,959	0,194	4,340	0,968	0,180	4,340	0,977	0,210	4,340	0,909	0,167	4,340	0,907	0,160	4,340	0,945	0,168	4,340	0,940	0,153	4,340	1,038	0,129	4,340	1,007	0,225	4,340	1,028	0,195	4,340	1,055	0,304	4,340	0,988	0,367	4,340	0,942	0,531	4,340	0,963	0,681	4,340	0,868	0,795
4,360	0,964	0,199	4,360	0,973	0,183	4,360	0,983	0,213	4,360	0,914	0,171	4,360	0,912	0,164	4,360	0,950	0,169	4,360	0,946	0,156	4,360	1,043	0,128	4,360	1,013	0,226	4,360	1,033	0,190	4,360	1,061	0,299	4,360	0,994	0,359	4,360	0,947	0,531	4,360	0,968	0,676	4,360	0,873	0,781
4,380	0,970	0,192	4,380	0,979	0,187	4,380	0,988	0,212	4,380	0,920	0,176	4,380	0,917	0,167	4,380	0,955	0,171	4,380	0,951	0,159	4,380	1,049	0,126	4,380	1,018	0,219	4,380	1,038	0,187	4,380	1,066	0,294	4,380	0,999	0,352	4,380	0,953	0,523	4,380	0,974	0,670	4,380	0,879	0,769
4,400	0,975	0,204	4,400	0,985	0,190	4,400	0,993	0,215	4,400	0,924	0,179	4,400	0,923	0,171	4,400	0,960	0,174	4,400	0,956	0,161	4,400	1,054	0,124	4,400	1,023	0,210	4,400	1,044	0,184	4,400	1,072	0,291	4,400	1,004	0,360	4,400	0,958	0,513	4,400	0,979	0,663	4,400	0,884	0,757
4,420	0,980	0,210	4,420	0,990	0,192	4,420	0,999	0,215	4,420	0,930	0,185	4,420	0,928	0,176	4,420	0,966	0,178	4,420	0,961	0,162	4,420	1,060	0,103	4,420	1,028	0,206	4,420	1,049	0,180	4,420	1,077	0,288	4,420	1,009	0,349	4,420	0,963	0,504	4,420	0,984	0,664	4,420	0,889	0,743
4,440	0,986	0,213	4,440	0,995	0,192	4,440	1,004	0,212	4,440	0,935	0,190	4,440	0,933	0,181	4,440	0,971	0,179	4,440	0,967	0,164	4,440	1,065	0,117	4,440	1,034	0,201	4,440	1,054	0,176	4,440	1,082	0,274	4,440	1,015	0,336	4,440	0,969	0,495	4,440	0,990	0,664	4,440	0,895	0,729
4,460	0,991	0,215	4,460	1,000	0,192	4,460	1,010	0,210	4,460	0,940	0,195	4,460	0,938	0,185	4,460	0,977	0,175	4,460	0,972	0,164	4,460	1,070	0,118	4,460	1,039	0,196	4,460	1,060	0,173	4,460	1,088	0,281	4,460	1,021	0,331	4,460	0,974	0,485	4,460	0,995	0,663	4,460	0,900	0,715
4,480	0,997	0,215	4,480	1,006	0,191	4,480	1,015	0,206	4,480	0,946	0,200	4,480	0,944	0,188	4,480	0,982	0,180	4,480	0,978	0,163	4,480	1,076	0,117	4,480	1,044	0,188	4,480	1,065	0,170	4,480	1,093	0,281	4,480	1,026	0,326	4,480	0,980	0,479	4,480	1,000	0,664	4,480	0,906	0,702
4,500	1,003	0,215	4,500	1,012	0,190	4,500	1,020	0,201	4,500	0,951	0,205	4,500	0,949	0,192	4,500	0,987	0,182	4,500	0,983	0,162	4,500	1,081	0,116	4,500	1,050	0,184	4,500	1,071	0,168	4,500	1,098	0,280	4,500	1,031	0,322	4,500	0,985	0,459	4,500	1,006	0,668	4,500	0,911	0,690
4,520	1,008	0,211	4,520	1,016	0,186	4,520	1,025	0,197	4,520	0,956	0,210	4,520	0,954	0,196	4,520	0,993	0,181	4,520	0,988	0,159	4,520	1,087	0,115	4,520	1,055	0,186	4,520	1,076	0,166	4,520	1,104	0,274	4,520	1,037	0,319	4,520	0,990	0,395	4,520	1,011	0,674	4,520	0,917	0,675
4,540	1,013	0,209	4,540	1,022	0,183	4,540	1,031	0,192	4,540	0,962	0,215	4,540	0,960	0,198	4,540	0,998	0,179	4,540	0,993	0,159	4,540	1,092	0,113	4,540	1,060	0,178	4,540	1,082	0,164	4,540	1,109	0,276	4,540	1,042	0,315	4,540	0,996	0,454	4,540	1,016	0,675	4,540	0,922	0,663
4,560	1,018	0,204	4,560	1,027	0,179	4,560	1,036	0,187	4,560	0,967	0,208	4,560	0,965	0,202	4,560	1,003	0,177	4,560	0,998	0,157	4,560	1,097	0,111	4,560	1,066	0,179	4,560	1,086	0,161	4,560	1,114	0,281	4,560	1,048	0,314	4,560	1,001	0,454	4,560	1,022	0,687	4,560	0,927	0,650
4,580	1,024	0,200	4,580	1,033	0,175	4,580	1,042	0,169	4,580	0,973	0,215	4,580	0,970	0,203	4,580	1,009	0,174	4,580	1,004	0,155	4,580	1,102	0,110	4,580	1,071	0,176	4,580	1,092	0,167	4,580	1,120	0,284	4,580	1,052	0,311	4,580	1,006	0,450	4,580	1,027	0,698	4,580	0,932	0,638
4,600	1,029	0,195	4,600	1,038	0,171	4,600	1,047	0,169	4,600	0,977	0,225	4,600	0,976	0,205	4,600	1,014	0,171	4,600	1,010	0,168	4,600	1,108	0,109	4,600	1,077	0,171	4,600	1,097	0,162	4,600	1,125	0,286	4,600	1,058	0,310	4,600	1,012	0,446	4,600	1,033	0,677	4,600	0,937	0,621
4,620	1,034	0,190	4,620	1,043	0,161	4,620	1,052	0,172	4,620	0,983	0,229	4,620	0,981	0,184	4,620	1,020	0,168	4,620	1,015	0,110	4,620	1,113	0,108	4,620	1,082	0,159	4,620	1,103	0,157	4,620	1,131	0,288	4,620	1,063	0,310	4,620	1,017	0,444	4,620	1,038	0,717	4,620	0,942	0,612
4,640	1,040	0,185	4,640	1,049	0,155	4,640	1,058	0,169	4,640	0,989	0,231	4,640	0,987	0,203	4,640	1,025	0,165	4,640	1,020	0,125	4,640	1,118	0,107	4,640	1,087	0,162	4,640	1,108	0,155	4,640	1,136	0,290	4,640	1,069	0,311	4,640	1,022	0,460	4,640	1,043	0,736	4,640	0,948	0,604
4,660	1,045	0,181	4,660	1,054	0,158	4,660	1,063	0,165	4,660	0,994	0,224	4,660	0,992	0,202	4,660	1,030	0,161	4,660	1,025	0,149	4,660	1,124	0,107	4,660	1,093	0,162	4,660	1,113	0,154	4,660	1,141	0,294	4,660	1,074	0,311	4,660	1,027	0,444	4,660	1,048	0,755	4,660	0,953	0,594
4,680	1,050	0,176	4,680	1,059	0,155	4,680	1,068	0,160	4,680	0,999	0,228	4,680	0,997	0,195	4,680	1,036	0,158	4,680	1,031	0,145	4,680	1,129	0,106	4,680	1,098	0,161	4,680	1,118	0,152	4,680	1,146	0,300	4,680	1,079	0,313	4,680	1,033	0,443	4,680	1,054	0,772	4,680	0,958	0,583
4,700	1,056	0,172	4,700	1,065	0,153	4,700	1,073	0,157	4,700	1,005	0,226	4,700	1,003	0,197	4,700	1,041	0,167	4,700	1,036	0,141	4,700	1,135	0,105	4,700	1,103	0,161	4,700	1,124	0,152	4,700	1,152	0,307	4,700	1,084	0,315	4,700	1,038	0,444	4,700	1,058	0,793	4,700	0,964	0,574
4,720	1,061	0,166	4,720	1,070	0,151	4,720	1,079	0,155	4,720	1,010	0,222	4,720	1,008	0,194	4,720	1,046	0,153	4,720	1,042	0,139	4,720	1,140	0,104	4,720	1,109	0,160	4,720	1,130	0,154	4,720	1,157	0,312	4,720	1,090	0,319	4,720	1,043	0,446	4,720	1,065	0,819	4,720	0,969	0,568
4,740	1,066	0,160	4,740	1,076	0,148	4,740	1,084	0,151	4,740	1,015	0,218	4,740	1,013	0,190	4,740	1,052	0,150	4,740	1,047	0,136	4,740	1,145	0,104	4,740	1,114	0,151	4,740	1,135	0,152	4,740	1,162	0,317	4,740	1,095	0,322	4,740	1,049	0,451	4,740	1,070	0,844	4,740	0,974	0,562
4,760	1,072	0,159	4,760	1,080	0,144	4,760	1,090	0,148	4,760	1,021	0,213	4,760	1,019	0,185	4,760	1,057	0,147	4,760	1,052	0,146	4,760	1,151	0,100	4,760	1,119	0,190	4,760	1,140	0,152	4,760	1,168	0,325	4,760	1,101	0,334	4,760	1,054	0,457	4,760	1,075	0,807	4,760	0,980	0,548
