Zeit (s) Messreihe #1;Spannung, Ch A (V) Messreihe #1;Spannung, Ch B (V) Messreihe #1;Zeit (s) Ringkern 1 Schalter Links;Spannung, Ch A (V) Ringkern 1 Schalter Links;Spannung, Ch B (V) Ringkern 1 Schalter Links;Zeit (s) RK1 Schalter links R_V;Spannung, Ch A (V) RK1 Schalter links R_V;Spannung, Ch B (V) RK1 Schalter links R_V;Zeit (s) Messreihe #4;Spannung, Ch A (V) Messreihe #4;Spannung, Ch B (V) Messreihe #4;Zeit (s) Messreihe #5;Spannung, Ch A (V) Messreihe #5;Spannung, Ch B (V) Messreihe #5;Zeit (s) Messreihe #6;Spannung, Ch A (V) Messreihe #6;Spannung, Ch B (V) Messreihe #6;Zeit (s) Messreihe #7;Spannung, Ch A (V) Messreihe #7;Spannung, Ch B (V) Messreihe #7;Zeit (s) Messreihe #8;Spannung, Ch A (V) Messreihe #8;Spannung, Ch B (V) Messreihe #8;Zeit (s) Messreihe #9;Spannung, Ch A (V) Messreihe #9;Spannung, Ch B (V) Messreihe #9;Zeit (s) Messreihe #10;Spannung, Ch A (V) Messreihe #10;Spannung, Ch B (V) Messreihe #10;Zeit (s) Messreihe #11;Spannung, Ch A (V) Messreihe #11;Spannung, Ch B (V) Messreihe #11;Zeit (s) Messreihe #12;Spannung, Ch A (V) Messreihe #12;Spannung, Ch B (V) Messreihe #12;Zeit (s) Messreihe #13;Spannung, Ch A (V) Messreihe #13;Spannung, Ch B (V) Messreihe #13;Zeit (s) Messreihe #14;Spannung, Ch A (V) Messreihe #14;Spannung, Ch B (V) Messreihe #14;Zeit (s) Messreihe #15;Spannung, Ch A (V) Messreihe #15;Spannung, Ch B (V) Messreihe #15;Zeit (s) Messreihe #16;Spannung, Ch A (V) Messreihe #16;Spannung, Ch B (V) Messreihe #16
48,000;0,010;0,677;48,000;-9,573E-4;-0,653;48,000;3,146;0,036;48,000;-0,400;-0,888;48,000;-0,014;-0,803;48,000;0,033;0,074;48,000;0,123;0,116;48,000;-0,390;-0,637;48,000;2,598;0,895;48,000;-2,357;-9,467E-4;48,000;-2,328;0,003;48,000;-0,159;-0,002;48,000;-0,006;-0,001;48,000;5,723E-4;0,049;48,000;0,121;-0,082;48,000;0,201;-0,057
48,050;0,010;0,676;48,050;-0,001;-0,654;48,050;3,138;0,037;48,050;-0,399;-0,886;48,050;-0,015;-0,802;48,050;0,032;0,074;48,050;0,123;0,115;48,050;-0,388;-0,637;48,050;2,594;0,894;48,050;-2,362;-2,069E-4;48,050;-2,360;0,004;48,050;-0,158;-0,002;48,050;-0,006;-6,403E-4;48,050;4,868E-4;0,048;48,050;0,120;-0,084;48,050;0,200;-0,057
48,100;0,010;0,677;48,100;-6,155E-4;-0,653;48,100;3,105;0,036;48,100;-0,399;-0,888;48,100;-0,014;-0,803;48,100;0,032;0,073;48,100;0,123;0,116;48,100;-0,387;-0,638;48,100;2,580;0,895;48,100;-2,379;-3,961E-4;48,100;-2,372;0,003;48,100;-0,159;-0,002;48,100;-0,006;-0,001;48,100;2,952E-4;0,048;48,100;0,120;-0,082;48,100;0,200;-0,057
48,150;0,010;0,676;48,150;-5,947E-4;-0,654;48,150;3,078;0,037;48,150;-0,399;-0,887;48,150;-0,014;-0,802;48,150;0,032;0,074;48,150;0,123;0,115;48,150;-0,387;-0,637;48,150;2,578;0,893;48,150;-2,422;-2,533E-4;48,150;-2,371;0,004;48,150;-0,159;-0,003;48,150;-0,006;-6,012E-4;48,150;3,440E-4;0,047;48,150;0,120;-0,083;48,150;0,200;-0,057
48,200;0,010;0,677;48,200;-6,277E-4;-0,654;48,200;3,056;0,036;48,200;-0,397;-0,887;48,200;-0,014;-0,803;48,200;0,032;0,073;48,200;0,122;0,115;48,200;-0,386;-0,638;48,200;2,571;0,894;48,200;-2,461;-6,256E-4;48,200;-2,372;0,003;48,200;-0,159;-0,002;48,200;-0,006;-0,001;48,200;6,357E-4;0,049;48,200;0,118;-0,083;48,200;0,200;-0,057
48,250;0,010;0,676;48,250;-0,001;-0,655;48,250;3,043;0,037;48,250;-0,395;-0,887;48,250;-0,014;-0,802;48,250;0,032;0,074;48,250;0,122;0,115;48,250;-0,378;-0,637;48,250;2,567;0,893;48,250;-2,485;-1,373E-4;48,250;-2,371;0,004;48,250;-0,159;-0,003;48,250;-0,006;-7,074E-4;48,250;3,623E-4;0,047;48,250;0,118;-0,084;48,250;0,199;-0,057
48,300;0,010;0,677;48,300;-4,775E-4;-0,654;48,300;3,032;0,036;48,300;-0,394;-0,887;48,300;-0,014;-0,803;48,300;0,031;0,072;48,300;0,122;0,115;48,300;-0,375;-0,638;48,300;2,548;0,894;48,300;-2,505;-7,062E-4;48,300;-2,372;0,003;48,300;-0,159;-0,002;48,300;-0,006;-9,979E-4;48,300;2,646E-4;0,048;48,300;0,118;-0,084;48,300;0,198;-0,057
48,350;0,010;0,676;48,350;-6,521E-4;-0,655;48,350;2,987;0,036;48,350;-0,393;-0,887;48,350;-0,014;-0,802;48,350;0,032;0,074;48,350;0,122;0,115;48,350;-0,372;-0,637;48,350;2,542;0,893;48,350;-2,505;-8,118E-5;48,350;-2,418;0,004;48,350;-0,159;-0,003;48,350;-0,006;-8,783E-4;48,350;4,441E-4;0,048;48,350;0,118;-0,084;48,350;0,198;-0,057
48,400;0,010;0,677;48,400;-6,814E-4;-0,655;48,400;2,970;0,035;48,400;-0,393;-0,888;48,400;-0,014;-0,803;48,400;0,031;0,073;48,400;0,121;0,115;48,400;-0,370;-0,637;48,400;2,517;0,894;48,400;-2,506;-8,221E-4;48,400;-2,517;0,003;48,400;-0,159;-0,002;48,400;-0,006;-0,001;48,400;8,201E-4;0,049;48,400;0,118;-0,084;48,400;0,197;-0,058
48,450;0,010;0,676;48,450;-7,644E-4;-0,656;48,450;2,888;0,036;48,450;-0,393;-0,886;48,450;-0,015;-0,803;48,450;0,031;0,073;48,450;0,120;0,114;48,450;-0,363;-0,637;48,450;2,503;0,893;48,450;-2,505;-4,791E-4;48,450;-2,530;0,004;48,450;-0,159;-0,003;48,450;-0,006;-8,722E-4;48,450;5,271E-4;0,048;48,450;0,118;-0,085;48,450;0,196;-0,057
48,500;0,011;0,677;48,500;-8,816E-4;-0,656;48,500;2,841;0,035;48,500;-0,393;-0,888;48,500;-0,014;-0,803;48,500;0,031;0,072;48,500;0,120;0,115;48,500;-0,358;-0,637;48,500;2,490;0,894;48,500;-2,553;-7,635E-4;48,500;-2,530;0,003;48,500;-0,158;-0,002;48,500;-0,006;-0,001;48,500;3,196E-4;0,048;48,500;0,118;-0,084;48,500;0,196;-0,058
48,550;0,010;0,676;48,550;-5,190E-4;-0,657;48,550;2,839;0,035;48,550;-0,393;-0,887;48,550;-0,014;-0,802;48,550;0,031;0,073;48,550;0,119;0,114;48,550;-0,351;-0,637;48,550;2,478;0,893;48,550;-2,611;-4,291E-4;48,550;-2,531;0,004;48,550;-0,159;-0,002;48,550;-0,006;-5,963E-4;48,550;3,342E-4;0,047;48,550;0,118;-0,085;48,550;0,196;-0,058
48,600;0,010;0,677;48,600;-9,036E-4;-0,657;48,600;2,832;0,034;48,600;-0,391;-0,887;48,600;-0,014;-0,803;48,600;0,031;0,072;48,600;0,119;0,115;48,600;-0,343;-0,637;48,600;2,469;0,893;48,600;-2,681;-6,573E-4;48,600;-2,597;0,003;48,600;-0,159;-0,002;48,600;-0,006;-8,636E-4;48,600;9,131E-5;0,048;48,600;0,118;-0,084;48,600;0,196;-0,058
48,650;0,010;0,676;48,650;-7,803E-4;-0,658;48,650;2,826;0,035;48,650;-0,388;-0,886;48,650;-0,014;-0,802;48,650;0,031;0,073;48,650;0,118;0,114;48,650;-0,339;-0,636;48,650;2,459;0,893;48,650;-2,811;-2,325E-4;48,650;-2,667;0,003;48,650;-0,159;-0,003;48,650;-0,006;-6,879E-4;48,650;7,261E-4;0,048;48,650;0,118;-0,084;48,650;0,196;-0,057
48,700;0,010;0,676;48,700;-6,338E-4;-0,657;48,700;2,820;0,034;48,700;-0,387;-0,888;48,700;-0,014;-0,802;48,700;0,031;0,072;48,700;0,119;0,115;48,700;-0,331;-0,637;48,700;2,458;0,893;48,700;-2,888;-6,976E-4;48,700;-2,668;0,003;48,700;-0,158;-0,002;48,700;-0,006;-0,001;48,700;5,552E-4;0,049;48,700;0,118;-0,084;48,700;0,196;-0,058
48,750;0,010;0,675;48,750;-5,435E-4;-0,658;48,750;2,813;0,035;48,750;-0,385;-0,886;48,750;-0,014;-0,802;48,750;0,031;0,073;48,750;0,118;0,114;48,750;-0,329;-0,636;48,750;2,458;0,892;48,750;-2,962;-2,875E-4;48,750;-2,668;0,003;48,750;-0,158;-0,003;48,750;-0,006;-9,039E-4;48,750;7,786E-4;0,048;48,750;0,117;-0,085;48,750;0,196;-0,058
48,800;0,010;0,676;48,800;-6,973E-4;-0,658;48,800;2,809;0,034;48,800;-0,384;-0,888;48,800;-0,014;-0,803;48,800;0,031;0,072;48,800;0,118;0,114;48,800;-0,324;-0,637;48,800;2,458;0,893;48,800;-3,014;-9,186E-4;48,800;-2,668;0,003;48,800;-0,157;-0,002;48,800;-0,006;-0,001;48,800;5,051E-4;0,048;48,800;0,116;-0,084;48,800;0,196;-0,058
48,850;0,009;0,675;48,850;-8,120E-4;-0,659;48,850;2,788;0,035;48,850;-0,383;-0,887;48,850;-0,014;-0,802;48,850;0,030;0,073;48,850;0,118;0,114;48,850;-0,322;-0,636;48,850;2,458;0,892;48,850;-3,084;-4,791E-4;48,850;-2,668;0,004;48,850;-0,157;-0,003;48,850;-0,006;-6,708E-4;48,850;4,709E-4;0,048;48,850;0,116;-0,085;48,850;0,196;-0,058
48,900;0,009;0,675;48,900;-8,450E-4;-0,659;48,900;2,779;0,034;48,900;-0,382;-0,888;48,900;-0,014;-0,802;48,900;0,031;0,072;48,900;0,117;0,114;48,900;-0,312;-0,637;48,900;2,459;0,893;48,900;-3,101;-8,002E-4;48,900;-2,668;0,003;48,900;-0,158;-0,002;48,900;-0,007;-0,001;48,900;2,341E-4;0,048;48,900;0,115;-0,085;48,900;0,196;-0,058
48,950;0,009;0,675;48,950;-7,632E-4;-0,660;48,950;2,713;0,035;48,950;-0,381;-0,886;48,950;-0,014;-0,802;48,950;0,030;0,072;48,950;0,117;0,114;48,950;-0,298;-0,635;48,950;2,459;0,892;48,950;-3,101;-5,792E-4;48,950;-2,668;0,004;48,950;-0,158;-0,003;48,950;-0,009;-8,026E-4;48,950;3,477E-4;0,047;48,950;0,115;-0,086;48,950;0,195;-0,058
49,000;0,009;0,675;49,000;-8,462E-4;-0,659;49,000;2,686;0,033;49,000;-0,380;-0,887;49,000;-0,014;-0,802;49,000;0,029;0,071;49,000;0,117;0,114;49,000;-0,295;-0,636;49,000;2,459;0,893;49,000;-3,100;-8,295E-4;49,000;-2,668;0,003;49,000;-0,157;-0,002;49,000;-0,010;-8,527E-4;49,000;4,978E-4;0,049;49,000;0,115;-0,085;49,000;0,196;-0,058
49,050;0,009;0,674;49,050;-6,399E-4;-0,660;49,050;2,662;0,034;49,050;-0,379;-0,886;49,050;-0,014;-0,801;49,050;0,029;0,071;49,050;0,116;0,114;49,050;-0,288;-0,635;49,050;2,459;0,892;49,050;-3,100;-7,074E-4;49,050;-2,668;0,004;49,050;-0,157;-0,002;49,050;-0,010;-4,401E-4;49,050;4,795E-4;0,047;49,050;0,115;-0,086;49,050;0,196;-0,057
49,100;0,009;0,675;49,100;-7,412E-4;-0,660;49,100;2,637;0,033;49,100;-0,378;-0,887;49,100;-0,014;-0,801;49,100;0,028;0,069;49,100;0,116;0,114;49,100;-0,286;-0,636;49,100;2,458;0,893;49,100;-3,100;-0,001;49,100;-2,668;0,003;49,100;-0,157;-0,002;49,100;-0,010;-9,161E-4;49,100;3,745E-4;0,049;49,100;0,115;-0,085;49,100;0,196;-0,058
49,150;0,009;0,674;49,150;-9,023E-4;-0,661;49,150;2,620;0,034;49,150;-0,375;-0,886;49,150;-0,014;-0,801;49,150;0,028;0,070;49,150;0,116;0,113;49,150;-0,273;-0,635;49,150;2,458;0,892;49,150;-3,101;-6,036E-4;49,150;-2,668;0,004;49,150;-0,157;-0,002;49,150;-0,010;-4,913E-4;49,150;3,660E-4;0,048;49,150;0,114;-0,086;49,150;0,196;-0,057
49,200;0,009;0,674;49,200;-7,632E-4;-0,661;49,200;2,611;0,032;49,200;-0,373;-0,887;49,200;-0,014;-0,802;49,200;0,027;0,068;49,200;0,115;0,114;49,200;-0,266;-0,636;49,200;2,459;0,894;49,200;-3,101;-9,564E-4;49,200;-2,668;0,003;49,200;-0,157;-0,002;49,200;-0,010;-9,015E-4;49,200;2,256E-4;0,048;49,200;0,114;-0,086;49,200;0,196;-0,058
49,250;0,009;0,674;49,250;-9,487E-4;-0,662;49,250;2,582;0,033;49,250;-0,372;-0,886;49,250;-0,014;-0,801;49,250;0,023;0,066;49,250;0,115;0,113;49,250;-0,256;-0,634;49,250;2,459;0,892;49,250;-3,101;-4,291E-4;49,250;-2,669;0,004;49,250;-0,161;-0,002;49,250;-0,010;-5,463E-4;49,250;-7,715E-5;0,047;49,250;0,113;-0,087;49,250;0,196;-0,058
49,300;0,009;0,674;49,300;-9,158E-4;-0,662;49,300;2,532;0,032;49,300;-0,372;-0,887;49,300;-0,014;-0,802;49,300;0,022;0,063;49,300;0,114;0,113;49,300;-0,246;-0,635;49,300;2,459;0,893;49,300;-3,105;-8,844E-4;49,300;-2,673;0,003;49,300;-0,169;-0,002;49,300;-0,011;-0,001;49,300;3,330E-4;0,048;49,300;0,113;-0,086;49,300;0,196;-0,058
49,350;0,009;0,673;49,350;-9,719E-4;-0,663;49,350;2,522;0,033;49,350;-0,372;-0,886;49,350;-0,014;-0,801;49,350;0,022;0,064;49,350;0,113;0,113;49,350;-0,237;-0,634;49,350;2,458;0,892;49,350;-3,111;-6,696E-4;49,350;-2,672;0,004;49,350;-0,200;-0,002;49,350;-0,017;-8,270E-4;49,350;4,465E-4;0,048;49,350;0,113;-0,087;49,350;0,196;-0,058
49,400;0,009;0,674;49,400;-0,001;-0,663;49,400;2,502;0,032;49,400;-0,372;-0,887;49,400;-0,014;-0,801;49,400;0,022;0,063;49,400;0,113;0,113;49,400;-0,228;-0,635;49,400;2,458;0,893;49,400;-3,120;-7,489E-4;49,400;-2,670;0,003;49,400;-0,241;-0,002;49,400;-0,034;-0,001;49,400;6,772E-4;0,049;49,400;0,112;-0,086;49,400;0,196;-0,058
49,450;0,009;0,673;49,450;-0,001;-0,664;49,450;2,478;0,033;49,450;-0,372;-0,886;49,450;-0,013;-0,801;49,450;0,021;0,063;49,450;0,112;0,113;49,450;-0,223;-0,634;49,450;2,459;0,892;49,450;-3,125;-5,243E-4;49,450;-2,668;0,004;49,450;-0,259;-0,003;49,450;-0,037;-7,733E-4;49,450;4,600E-4;0,048;49,450;0,113;-0,087;49,450;0,189;-0,058
49,500;0,008;0,674;49,500;-0,001;-0,664;49,500;2,432;0,032;49,500;-0,370;-0,887;49,500;-0,014;-0,802;49,500;0,022;0,063;49,500;0,111;0,113;49,500;-0,211;-0,634;49,500;2,458;0,893;49,500;-3,128;-9,015E-4;49,500;-2,702;0,003;49,500;-0,279;-0,002;49,500;-0,046;-0,001;49,500;3,831E-4;0,048;49,500;0,113;-0,086;49,500;0,169;-0,063
49,550;0,009;0,673;49,550;-9,536E-4;-0,665;49,550;2,365;0,032;49,550;-0,369;-0,886;49,550;-0,014;-0,801;49,550;0,022;0,064;49,550;0,112;0,112;49,550;-0,203;-0,633;49,550;2,459;0,892;49,550;-3,128;-4,803E-4;49,550;-2,743;0,003;49,550;-0,304;-0,003;49,550;-0,051;-9,064E-4;49,550;6,016E-4;0,048;49,550;0,113;-0,087;49,550;0,158;-0,066
49,600;0,009;0,674;49,600;-0,001;-0,665;49,600;2,337;0,031;49,600;-0,363;-0,887;49,600;-0,014;-0,802;49,600;0,021;0,062;49,600;0,112;0,113;49,600;-0,194;-0,634;49,600;2,458;0,893;49,600;-3,135;-0,001;49,600;-2,823;0,003;49,600;-0,321;-0,001;49,600;-0,062;-9,125E-4;49,600;5,442E-4;0,049;49,600;0,112;-0,086;49,600;0,149;-0,069
49,650;0,009;0,673;49,650;-8,730E-4;-0,666;49,650;2,283;0,031;49,650;-0,363;-0,886;49,650;-0,014;-0,801;49,650;0,021;0,063;49,650;0,111;0,112;49,650;-0,191;-0,633;49,650;2,458;0,892;49,650;-3,150;-4,559E-4;49,650;-2,981;0,004;49,650;-0,346;-0,003;49,650;-0,071;-5,670E-4;49,650;3,391E-4;0,048;49,650;0,111;-0,087;49,650;0,142;-0,072
49,700;0,009;0,674;49,700;-0,001;-0,666;49,700;2,224;0,030;49,700;-0,361;-0,887;49,700;-0,013;-0,801;49,700;0,022;0,063;49,700;0,111;0,113;49,700;-0,180;-0,633;49,700;2,458;0,893;49,700;-3,166;-5,670E-4;49,700;-3,053;0,003;49,700;-0,358;-0,002;49,700;-0,117;-0,001;49,700;4,758E-4;0,048;49,700;0,111;-0,087;49,700;0,141;-0,073
49,750;0,009;0,673;49,750;-0,001;-0,667;49,750;2,154;0,031;49,750;-0,361;-0,886;49,750;-0,012;-0,800;49,750;0,021;0,063;49,750;0,110;0,112;49,750;-0,175;-0,632;49,750;2,458;0,892;49,750;-3,181;-2,350E-4;49,750;-3,053;0,003;49,750;-0,389;-0,003;49,750;-0,130;-7,721E-4;49,750;4,563E-4;0,048;49,750;0,111;-0,088;49,750;0,141;-0,072
49,800;0,009;0,674;49,800;-0,001;-0,667;49,800;2,142;0,030;49,800;-0,359;-0,887;49,800;-0,007;-0,790;49,800;0,022;0,063;49,800;0,110;0,113;49,800;-0,168;-0,633;49,800;2,459;0,893;49,800;-3,200;-7,184E-4;49,800;-3,054;0,003;49,800;-0,407;-0,002;49,800;-0,138;-0,001;49,800;1,670E-4;0,048;49,800;0,111;-0,087;49,800;0,141;-0,073
49,850;0,009;0,673;49,850;-0,001;-0,668;49,850;2,132;0,030;49,850;-0,358;-0,886;49,850;-0,006;-0,786;49,850;0,021;0,063;49,850;0,109;0,112;49,850;-0,163;-0,632;49,850;2,458;0,892;49,850;-3,239;-6,207E-4;49,850;-3,054;0,003;49,850;-0,409;-0,003;49,850;-0,148;-8,148E-4;49,850;5,137E-4;0,048;49,850;0,110;-0,088;49,850;0,141;-0,073
49,900;0,009;0,674;49,900;-0,001;-0,667;49,900;2,087;0,029;49,900;-0,357;-0,887;49,900;-0,004;-0,782;49,900;0,021;0,062;49,900;0,107;0,112;49,900;-0,149;-0,633;49,900;2,458;0,893;49,900;-3,258;-6,061E-4;49,900;-3,054;0,003;49,900;-0,464;-0,002;49,900;-0,149;-0,001;49,900;5,857E-4;0,049;49,900;0,110;-0,088;49,900;0,137;-0,074
49,950;0,009;0,673;49,950;-0,001;-0,669;49,950;2,074;0,030;49,950;-0,356;-0,886;49,950;-0,004;-0,782;49,950;0,021;0,063;49,950;0,107;0,111;49,950;-0,141;-0,632;49,950;2,458;0,892;49,950;-3,266;-6,866E-4;49,950;-3,053;0,003;49,950;-0,543;-0,003;49,950;-0,152;-9,052E-4;49,950;2,317E-4;0,047;49,950;0,110;-0,088;49,950;0,136;-0,074
50,000;0,009;0,674;50,000;-0,001;-0,669;50,000;2,038;0,029;50,000;-0,356;-0,887;50,000;-0,005;-0,783;50,000;0,021;0,062;50,000;0,106;0,111;50,000;-0,135;-0,633;50,000;2,458;0,893;50,000;-3,267;-9,027E-4;50,000;-3,067;0,003;50,000;-0,586;-0,002;50,000;-0,166;-0,001;50,000;5,417E-4;0,049;50,000;0,109;-0,088;50,000;0,134;-0,075
50,050;0,009;0,673;50,050;-0,001;-0,669;50,050;2,015;0,029;50,050;-0,355;-0,886;50,050;-0,005;-0,783;50,050;0,021;0,063;50,050;0,106;0,111;50,050;-0,127;-0,631;50,050;2,458;0,892;50,050;-3,267;-6,134E-4;50,050;-3,071;0,003;50,050;-0,590;-0,003;50,050;-0,177;-9,039E-4;50,050;3,208E-4;0,048;50,050;0,109;-0,089;50,050;0,133;-0,075
50,100;0,008;0,673;50,100;-0,001;-0,669;50,100;1,997;0,028;50,100;-0,353;-0,887;50,100;-0,005;-0,783;50,100;0,020;0,061;50,100;0,106;0,112;50,100;-0,125;-0,632;50,100;2,458;0,893;50,100;-3,267;-6,329E-4;50,100;-3,071;0,003;50,100;-0,589;-0,002;50,100;-0,195;-0,001;50,100;5,820E-4;0,049;50,100;0,109;-0,088;50,100;0,130;-0,077
50,150;0,008;0,672;50,150;-0,001;-0,670;50,150;1,969;0,029;50,150;-0,348;-0,886;50,150;-0,005;-0,782;50,150;0,020;0,062;50,150;0,105;0,111;50,150;-0,116;-0,631;50,150;2,446;0,892;50,150;-3,268;-7,098E-4;50,150;-3,071;0,003;50,150;-0,590;-0,003;50,150;-0,199;-0,001;50,150;6,602E-4;0,048;50,150;0,108;-0,089;50,150;0,126;-0,078
50,200;0,008;0,673;50,200;-0,001;-0,670;50,200;1,950;0,028;50,200;-0,347;-0,887;50,200;-0,005;-0,782;50,200;0,020;0,061;50,200;0,104;0,111;50,200;-0,111;-0,632;50,200;2,437;0,893;50,200;-3,289;-9,967E-4;50,200;-3,095;0,003;50,200;-0,590;-0,002;50,200;-0,219;-0,001;50,200;4,209E-4;0,048;50,200;0,108;-0,089;50,200;0,125;-0,079
50,250;0,008;0,672;50,250;-0,001;-0,671;50,250;1,937;0,029;50,250;-0,341;-0,885;50,250;-0,005;-0,782;50,250;0,020;0,062;50,250;0,103;0,110;50,250;-0,101;-0,631;50,250;2,410;0,891;50,250;-3,289;-4,425E-4;50,250;-3,116;0,003;50,250;-0,602;-0,003;50,250;-0,222;-0,001;50,250;2,476E-4;0,048;50,250;0,108;-0,089;50,250;0,124;-0,079
50,300;0,008;0,673;50,300;-0,001;-0,670;50,300;1,937;0,028;50,300;-0,337;-0,887;50,300;-0,004;-0,782;50,300;0,019;0,059;50,300;0,102;0,111;50,300;-0,088;-0,631;50,300;2,401;0,893;50,300;-3,289;-7,697E-4;50,300;-3,134;0,003;50,300;-0,628;-0,002;50,300;-0,254;-0,001;50,300;4,990E-4;0,049;50,300;0,108;-0,089;50,300;0,122;-0,080
50,350;0,008;0,672;50,350;-0,002;-0,672;50,350;1,934;0,029;50,350;-0,336;-0,885;50,350;-0,005;-0,782;50,350;0,019;0,060;50,350;0,102;0,110;50,350;-0,085;-0,630;50,350;2,396;0,891;50,350;-3,290;-8,514E-4;50,350;-3,138;0,003;50,350;-0,643;-0,003;50,350;-0,264;-8,514E-4;50,350;1,987E-4;0,047;50,350;0,108;-0,090;50,350;0,121;-0,080
50,400;0,008;0,673;50,400;-0,002;-0,672;50,400;1,928;0,028;50,400;-0,335;-0,886;50,400;-0,004;-0,782;50,400;0,019;0,059;50,400;0,102;0,111;50,400;-0,083;-0,631;50,400;2,377;0,893;50,400;-3,304;-7,635E-4;50,400;-3,170;0,003;50,400;-0,643;-0,002;50,400;-0,267;-0,001;50,400;3,074E-4;0,048;50,400;0,107;-0,089;50,400;0,120;-0,081
50,450;0,008;0,671;50,450;-0,001;-0,672;50,450;1,928;0,029;50,450;-0,333;-0,885;50,450;-0,005;-0,782;50,450;0,018;0,059;50,450;0,101;0,110;50,450;-0,081;-0,630;50,450;2,361;0,891;50,450;-3,344;-7,184E-4;50,450;-3,204;0,003;50,450;-0,643;-0,003;50,450;-0,294;-0,001;50,450;5,442E-4;0,048;50,450;0,107;-0,090;50,450;0,117;-0,082
50,500;0,008;0,672;50,500;-0,001;-0,672;50,500;1,928;0,028;50,500;-0,332;-0,887;50,500;-0,004;-0,782;50,500;0,017;0,057;50,500;0,101;0,110;50,500;-0,074;-0,631;50,500;2,357;0,892;50,500;-3,348;-9,991E-4;50,500;-3,222;0,003;50,500;-0,643;-0,002;50,500;-0,296;-0,001;50,500;4,893E-4;0,049;50,500;0,108;-0,089;50,500;0,116;-0,083
50,550;0,008;0,671;50,550;-0,001;-0,673;50,550;1,928;0,029;50,550;-0,327;-0,885;50,550;-0,005;-0,782;50,550;0,017;0,058;50,550;0,100;0,109;50,550;-0,063;-0,630;50,550;2,357;0,891;50,550;-3,347;-3,448E-4;50,550;-3,235;0,003;50,550;-0,643;-0,003;50,550;-0,330;-6,952E-4;50,550;4,270E-4;0,048;50,550;0,108;-0,090;50,550;0,112;-0,084
50,600;0,008;0,672;50,600;-0,001;-0,673;50,600;1,928;0,028;50,600;-0,324;-0,886;50,600;-0,004;-0,782;50,600;0,017;0,057;50,600;0,100;0,110;50,600;-0,055;-0,630;50,600;2,357;0,893;50,600;-3,348;-8,002E-4;50,600;-3,236;0,003;50,600;-0,643;-0,002;50,600;-0,344;-0,001;50,600;1,316E-4;0,048;50,600;0,107;-0,089;50,600;0,109;-0,087
50,650;0,008;0,671;50,650;-0,001;-0,673;50,650;1,927;0,028;50,650;-0,318;-0,885;50,650;-0,004;-0,782;50,650;0,017;0,058;50,650;0,099;0,109;50,650;-0,052;-0,629;50,650;2,357;0,891;50,650;-3,357;-9,320E-4;50,650;-3,236;0,003;50,650;-0,643;-0,003;50,650;-0,344;-8,966E-4;50,650;3,440E-4;0,048;50,650;0,107;-0,090;50,650;0,108;-0,087
50,700;0,008;0,671;50,700;-0,001;-0,673;50,700;1,928;0,028;50,700;-0,314;-0,887;50,700;-0,004;-0,782;50,700;0,017;0,056;50,700;0,098;0,109;50,700;-0,051;-0,630;50,700;2,357;0,892;50,700;-3,408;-9,833E-4;50,700;-3,238;0,003;50,700;-0,644;-0,002;50,700;-0,344;-8,295E-4;50,700;5,955E-4;0,049;50,700;0,107;-0,089;50,700;0,105;-0,089
50,750;0,007;0,670;50,750;-0,002;-0,674;50,750;1,928;0,029;50,750;-0,307;-0,885;50,750;-0,004;-0,782;50,750;0,016;0,057;50,750;0,098;0,109;50,750;-0,051;-0,629;50,750;2,357;0,891;50,750;-3,427;-6,049E-4;50,750;-3,256;0,003;50,750;-0,643;-0,003;50,750;-0,344;-9,772E-4;50,750;4,624E-4;0,048;50,750;0,107;-0,090;50,750;0,100;-0,090
50,800;0,008;0,671;50,800;-0,001;-0,674;50,800;1,927;0,027;50,800;-0,305;-0,886;50,800;-0,004;-0,782;50,800;0,014;0,052;50,800;0,097;0,109;50,800;-0,050;-0,629;50,800;2,357;0,892;50,800;-3,429;-9,589E-4;50,800;-3,266;0,003;50,800;-0,644;-0,002;50,800;-0,344;-0,001;50,800;2,280E-4;0,048;50,800;0,107;-0,090;50,800;0,093;-0,094
50,850;0,008;0,670;50,850;-0,002;-0,675;50,850;1,927;0,029;50,850;-0,302;-0,884;50,850;-0,004;-0,782;50,850;0,014;0,053;50,850;0,097;0,109;50,850;-0,050;-0,629;50,850;2,357;0,891;50,850;-3,429;-5,560E-4;50,850;-3,274;0,003;50,850;-0,643;-0,003;50,850;-0,364;-0,001;50,850;3,611E-4;0,048;50,850;0,107;-0,090;50,850;0,089;-0,097
50,900;0,007;0,671;50,900;-0,001;-0,675;50,900;1,928;0,028;50,900;-0,301;-0,886;50,900;-0,005;-0,782;50,900;0,014;0,052;50,900;0,097;0,109;50,900;-0,050;-0,630;50,900;2,355;0,892;50,900;-3,462;-7,245E-4;50,900;-3,277;0,003;50,900;-0,645;-0,002;50,900;-0,378;-0,001;50,900;2,024E-4;0,048;50,900;0,107;-0,090;50,900;0,087;-0,100
50,950;0,007;0,669;50,950;-0,001;-0,675;50,950;1,927;0,028;50,950;-0,292;-0,884;50,950;-0,004;-0,782;50,950;0,014;0,052;50,950;0,096;0,108;50,950;-0,050;-0,629;50,950;2,334;0,891;50,950;-3,482;-6,451E-4;50,950;-3,283;0,003;50,950;-0,695;-0,003;50,950;-0,378;-0,001;50,950;1,682E-4;0,047;50,950;0,107;-0,090;50,950;0,085;-0,101
