Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Spannung, Ch B (V) Messreihe #1	Zeit (s) Messreihe #2	Spannung, Ch A (V) Messreihe #2	Spannung, Ch B (V) Messreihe #2	Zeit (s) Messreihe #3	Spannung, Ch A (V) Messreihe #3	Spannung, Ch B (V) Messreihe #3	Zeit (s) Messreihe #4	Spannung, Ch A (V) Messreihe #4	Spannung, Ch B (V) Messreihe #4	Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5	Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6	Zeit (s) Messreihe #7	Spannung, Ch A (V) Messreihe #7	Spannung, Ch B (V) Messreihe #7	Zeit (s) Messreihe #8	Spannung, Ch A (V) Messreihe #8	Spannung, Ch B (V) Messreihe #8	Zeit (s) Messreihe #9	Spannung, Ch A (V) Messreihe #9	Spannung, Ch B (V) Messreihe #9	Zeit (s) Messreihe #10	Spannung, Ch A (V) Messreihe #10	Spannung, Ch B (V) Messreihe #10	Zeit (s) Messreihe #11	Spannung, Ch A (V) Messreihe #11	Spannung, Ch B (V) Messreihe #11	Zeit (s) Messreihe #12	Spannung, Ch A (V) Messreihe #12	Spannung, Ch B (V) Messreihe #12	Zeit (s) Messreihe #13	Spannung, Ch A (V) Messreihe #13	Spannung, Ch B (V) Messreihe #13	Zeit (s) Messreihe #14	Spannung, Ch A (V) Messreihe #14	Spannung, Ch B (V) Messreihe #14	Zeit (s) Messreihe #15	Spannung, Ch A (V) Messreihe #15	Spannung, Ch B (V) Messreihe #15	Zeit (s) Messreihe #16	Spannung, Ch A (V) Messreihe #16	Spannung, Ch B (V) Messreihe #16	Zeit (s) Messreihe #17	Spannung, Ch A (V) Messreihe #17	Spannung, Ch B (V) Messreihe #17	Zeit (s) Messreihe #18	Spannung, Ch A (V) Messreihe #18	Spannung, Ch B (V) Messreihe #18	Zeit (s) Messreihe #19	Spannung, Ch A (V) Messreihe #19	Spannung, Ch B (V) Messreihe #19	Zeit (s) Messreihe #20	Spannung, Ch A (V) Messreihe #20	Spannung, Ch B (V) Messreihe #20	Zeit (s) Messreihe #21	Spannung, Ch A (V) Messreihe #21	Spannung, Ch B (V) Messreihe #21	Zeit (s) Messreihe #22	Spannung, Ch A (V) Messreihe #22	Spannung, Ch B (V) Messreihe #22	Zeit (s) Messreihe #23	Spannung, Ch A (V) Messreihe #23	Spannung, Ch B (V) Messreihe #23	Zeit (s) Messreihe #24	Spannung, Ch A (V) Messreihe #24	Spannung, Ch B (V) Messreihe #24	Zeit (s) Messreihe #25	Spannung, Ch A (V) Messreihe #25	Spannung, Ch B (V) Messreihe #25	Zeit (s) Messreihe #26	Spannung, Ch A (V) Messreihe #26	Spannung, Ch B (V) Messreihe #26	Zeit (s) Messreihe #27	Spannung, Ch A (V) Messreihe #27	Spannung, Ch B (V) Messreihe #27	Zeit (s) Messreihe #28	Spannung, Ch A (V) Messreihe #28	Spannung, Ch B (V) Messreihe #28	Zeit (s) Messreihe #29	Spannung, Ch A (V) Messreihe #29	Spannung, Ch B (V) Messreihe #29	Zeit (s) Messreihe #30	Spannung, Ch A (V) Messreihe #30	Spannung, Ch B (V) Messreihe #30	Zeit (s) Messreihe #31	Spannung, Ch A (V) Messreihe #31	Spannung, Ch B (V) Messreihe #31	Zeit (s) Messreihe #32	Spannung, Ch A (V) Messreihe #32	Spannung, Ch B (V) Messreihe #32	Zeit (s) Messreihe #33	Spannung, Ch A (V) Messreihe #33	Spannung, Ch B (V) Messreihe #33	Zeit (s) Messreihe #34	Spannung, Ch A (V) Messreihe #34	Spannung, Ch B (V) Messreihe #34	Zeit (s) Messreihe #35	Spannung, Ch A (V) Messreihe #35	Spannung, Ch B (V) Messreihe #35	Zeit (s) Messreihe #36	Spannung, Ch A (V) Messreihe #36	Spannung, Ch B (V) Messreihe #36
						8,450	2,287	0,095	8,450	2,094	0,095	8,450	2,111	0,933	8,450	2,086	1,010	8,450	2,153	0,786	8,450	2,302	0,159	8,450	2,294	0,139	8,450	2,219	0,165	8,450	2,190	0,174	8,450	2,220	0,289	8,450	2,357	0,048	8,450	2,329	0,101	8,450	2,291	0,142	8,450	2,313	0,097	8,450	2,301	0,135	8,450	2,287	0,069	8,450	2,327	0,072				8,450	2,282	0,086	8,450	2,150	0,069	8,450	2,302	0,087	8,450	2,247	0,077	8,450	1,885	0,548	8,450	1,848	0,269	8,450	2,000	0,616	8,450	1,997	0,503	8,450	1,888	0,224	8,450	2,004	0,537	8,450	1,845	2,029	8,450	1,990	0,912	8,450	1,911	1,552	8,450	1,967	1,123	8,450	1,972	1,002	8,450	1,933	1,506
						8,500	2,304	0,086	8,500	2,109	0,061	8,500	2,125	0,919	8,500	2,100	0,980	8,500	2,168	0,695	8,500	2,317	0,155	8,500	2,309	0,088	8,500	2,234	0,144	8,500	2,204	0,166	8,500	2,235	0,308	8,500	2,372	0,082	8,500	2,343	0,084	8,500	2,305	0,133	8,500	2,328	0,108	8,500	2,316	0,113	8,500	2,301	0,073	8,500	2,342	0,063				8,500	2,296	0,051	8,500	2,164	0,080	8,500	2,316	0,051	8,500	2,261	0,063	8,500	1,898	0,558	8,500	1,861	0,315	8,500	2,013	0,624	8,500	2,010	0,528	8,500	1,901	0,305	8,500	2,017	0,452	8,500	1,858	1,947	8,500	2,004	0,959	8,500	1,924	1,529	8,500	1,980	1,143	8,500	1,985	1,049	8,500	1,946	1,392
						8,550	2,337	0,131	8,550	2,123	0,095	8,550	2,140	0,825	8,550	2,115	0,904	8,550	2,183	0,689	8,550	2,332	0,114	8,550	2,323	0,119	8,550	2,249	0,147	8,550	2,219	0,156	8,550	2,250	0,240	8,550	2,387	0,040	8,550	2,358	0,069	8,550	2,320	0,111	8,550	2,342	0,075	8,550	2,330	0,106	8,550	2,316	0,067	8,550	2,357	0,071				8,550	2,311	0,085	8,550	2,179	0,067	8,550	2,331	0,085	8,550	2,276	0,076	8,550	1,912	0,636	8,550	1,874	0,368	8,550	2,027	0,511	8,550	2,023	0,424	8,550	1,914	0,263	8,550	2,030	0,434	8,550	1,871	1,824	8,550	2,017	0,926	8,550	1,938	1,408	8,550	1,994	1,128	8,550	1,999	1,013	8,550	1,959	1,397
						8,600	2,368	0,102	8,600	2,138	0,061	8,600	2,155	0,812	8,600	2,130	0,875	8,600	2,197	0,599	8,600	2,347	0,109	8,600	2,338	0,069	8,600	2,263	0,126	8,600	2,234	0,149	8,600	2,264	0,258	8,600	2,401	0,073	8,600	2,373	0,052	8,600	2,335	0,101	8,600	2,357	0,086	8,600	2,345	0,083	8,600	2,331	0,072	8,600	2,371	0,062				8,600	2,326	0,049	8,600	2,193	0,079	8,600	2,346	0,050	8,600	2,291	0,061	8,600	1,925	0,640	8,600	1,887	0,387	8,600	2,040	0,516	8,600	2,037	0,444	8,600	1,927	0,346	8,600	2,044	0,356	8,600	1,884	1,706	8,600	2,030	1,027	8,600	1,951	1,462	8,600	2,007	1,208	8,600	2,011	1,117	8,600	1,972	1,346
						8,650	2,386	0,100	8,650	2,153	0,096	8,650	2,169	0,722	8,650	2,144	0,801	8,650	2,211	0,594	8,650	2,361	0,070	8,650	2,353	0,099	8,650	2,278	0,129	8,650	2,249	0,139	8,650	2,279	0,189	8,650	2,416	0,032	8,650	2,387	0,038	8,650	2,349	0,079	8,650	2,371	0,054	8,650	2,359	0,076	8,650	2,346	0,065	8,650	2,386	0,068				8,650	2,340	0,083	8,650	2,207	0,066	8,650	2,360	0,083	8,650	2,305	0,074	8,650	1,938	0,704	8,650	1,900	0,444	8,650	2,053	0,406	8,650	2,050	0,340	8,650	1,941	0,302	8,650	2,057	0,352	8,650	1,897	1,555	8,650	2,044	1,041	8,650	1,964	1,418	8,650	2,020	1,254	8,650	2,025	1,137	8,650	1,986	1,415
						8,700	2,396	0,084	8,700	2,167	0,061	8,700	2,184	0,712	8,700	2,159	0,774	8,700	2,226	0,506	8,700	2,376	0,065	8,700	2,367	0,049	8,700	2,293	0,107	8,700	2,263	0,131	8,700	2,294	0,206	8,700	2,430	0,064	8,700	2,402	0,024	8,700	2,364	0,069	8,700	2,386	0,064	8,700	2,374	0,054	8,700	2,360	0,071	8,700	2,400	0,060				8,700	2,355	0,047	8,700	2,222	0,078	8,700	2,375	0,048	8,700	2,320	0,060	8,700	1,951	0,682	8,700	1,913	0,466	8,700	2,067	0,422	8,700	2,063	0,361	8,700	1,954	0,379	8,700	2,070	0,286	8,700	1,910	1,416	8,700	2,057	1,190	8,700	1,978	1,544	8,700	2,033	1,395	8,700	2,039	1,300	8,700	1,999	1,421
						8,750	2,416	0,103	8,750	2,182	0,096	8,750	2,198	0,623	8,750	2,174	0,704	8,750	2,240	0,501	8,750	2,391	0,030	8,750	2,382	0,077	8,750	2,307	0,109	8,750	2,278	0,121	8,750	2,308	0,138	8,750	2,445	0,024	8,750	2,417	0,012	8,750	2,379	0,048	8,750	2,401	0,034	8,750	2,389	0,048	8,750	2,374	0,063	8,750	2,415	0,066				8,750	2,369	0,080	8,750	2,237	0,065	8,750	2,390	0,081	8,750	2,335	0,072	8,750	1,965	0,705	8,750	1,926	0,520	8,750	2,080	0,329	8,750	2,076	0,265	8,750	1,968	0,328	8,750	2,083	0,296	8,750	1,924	1,253	8,750	2,070	1,256	8,750	1,991	1,578	8,750	2,047	1,497	8,750	2,052	1,377	8,750	2,012	1,553
						8,800	2,425	0,081	8,800	2,196	0,062	8,800	2,213	0,613	8,800	2,188	0,677	8,800	2,255	0,413	8,800	2,406	0,026	8,800	2,397	0,031	8,800	2,322	0,088	8,800	2,292	0,112	8,800	2,323	0,153	8,800	2,459	0,055	8,800	2,431	-7,178E-4	8,800	2,393	0,039	8,800	2,415	0,043	8,800	2,403	0,029	8,800	2,389	0,070	8,800	2,430	0,058				8,800	2,384	0,045	8,800	2,251	0,077	8,800	2,404	0,045	8,800	2,349	0,058	8,800	1,978	0,642	8,800	1,939	0,531	8,800	2,094	0,359	8,800	2,090	0,296	8,800	1,981	0,384	8,800	2,096	0,241	8,800	1,937	1,125	8,800	2,083	1,457	8,800	2,004	1,778	8,800	2,060	1,701	8,800	2,065	1,599	8,800	2,026	1,619
						8,850	2,464	0,131	8,850	2,210	0,097	8,850	2,227	0,526	8,850	2,202	0,609	8,850	2,270	0,407	8,850	2,421	-0,003	8,850	2,411	0,057	8,850	2,337	0,090	8,850	2,307	0,102	8,850	2,338	0,088	8,850	2,474	0,017	8,850	2,446	-0,010	8,850	2,408	0,021	8,850	2,430	0,016	8,850	2,418	0,024	8,850	2,404	0,062	8,850	2,444	0,064				8,850	2,399	0,079	8,850	2,266	0,063	8,850	2,419	0,079	8,850	2,364	0,070	8,850	1,991	0,633	8,850	1,953	0,566	8,850	2,107	0,280	8,850	2,103	0,216	8,850	1,994	0,314	8,850	2,110	0,264	8,850	1,950	0,986	8,850	2,097	1,571	8,850	2,017	1,888	8,850	2,073	1,863	8,850	2,078	1,734	8,850	2,039	1,813
						8,900	2,467	0,064	8,900	2,225	0,062	8,900	2,242	0,517	8,900	2,217	0,585	8,900	2,285	0,320	8,900	2,436	-0,005	8,900	2,425	0,013	8,900	2,352	0,068	8,900	2,322	0,092	8,900	2,352	0,101	8,900	2,488	0,047	8,900	2,461	-0,020	8,900	2,423	0,013	8,900	2,444	0,025	8,900	2,433	0,006	8,900	2,418	0,070	8,900	2,459	0,056				8,900	2,414	0,044	8,900	2,281	0,076	8,900	2,434	0,044	8,900	2,379	0,056	8,900	2,005	0,552	8,900	1,967	0,546	8,900	2,120	0,323	8,900	2,117	0,254	8,900	2,008	0,356	8,900	2,123	0,221	8,900	1,963	0,889	8,900	2,110	1,823	8,900	2,031	2,166	8,900	2,087	2,135	8,900	2,091	2,014	8,900	2,052	1,936
						8,950	2,502	0,166	8,950	2,240	0,098	8,950	2,256	0,430	8,950	2,232	0,518	8,950	2,299	0,312	8,950	2,451	-0,028	8,950	2,440	0,039	8,950	2,366	0,069	8,950	2,336	0,082	8,950	2,367	0,041	8,950	2,503	0,010	8,950	2,475	-0,027	8,950	2,437	-0,003	8,950	2,459	1,941E-4	8,950	2,448	0,005	8,950	2,433	0,060	8,950	2,473	0,062				8,950	2,428	0,076	8,950	2,295	0,061	8,950	2,448	0,077	8,950	2,393	0,068	8,950	2,018	0,538	8,950	1,980	0,545	8,950	2,133	0,253	8,950	2,130	0,184	8,950	2,021	0,278	8,950	2,137	0,255	8,950	1,977	0,779	8,950	2,123	1,985	8,950	2,044	2,352	8,950	2,100	2,354	8,950	2,105	2,212	8,950	2,065	2,190
						9,000	2,582	0,162	9,000	2,254	0,062	9,000	2,271	0,421	9,000	2,246	0,494	9,000	2,313	0,223	9,000	2,465	-0,027	9,000	2,455	-0,002	9,000	2,381	0,049	9,000	2,351	0,072	9,000	2,382	0,053	9,000	2,518	0,039	9,000	2,490	-0,036	9,000	2,452	-0,008	9,000	2,474	0,010	9,000	2,462	-0,011	9,000	2,447	0,069	9,000	2,488	0,054				9,000	2,443	0,041	9,000	2,310	0,075	9,000	2,463	0,041	9,000	2,408	0,054	9,000	2,031	0,457	9,000	1,993	0,498	9,000	2,147	0,310	9,000	2,143	0,230	9,000	2,034	0,316	9,000	2,150	0,221	9,000	1,990	0,717	9,000	2,137	2,288	9,000	2,057	2,709	9,000	2,113	2,684	9,000	2,118	2,550	9,000	2,079	2,371
						9,050	2,605	0,104	9,050	2,269	0,098	9,050	2,286	0,333	9,050	2,261	0,428	9,050	2,328	0,214	9,050	2,480	-0,047	9,050	2,470	0,022	9,050	2,395	0,050	9,050	2,366	0,063	9,050	2,396	1,941E-4	9,050	2,533	0,004	9,050	2,504	-0,040	9,050	2,466	-0,021	9,050	2,488	-0,012	9,050	2,476	-0,012	9,050	2,462	0,058	9,050	2,502	0,059				9,050	2,457	0,074	9,050	2,324	0,059	9,050	2,477	0,074	9,050	2,423	0,066	9,050	2,044	0,440	9,050	2,007	0,481	9,050	2,160	0,251	9,050	2,157	0,170	9,050	2,048	0,237	9,050	2,163	0,265	9,050	2,004	0,639	9,050	2,150	2,499	9,050	2,071	2,972	9,050	2,126	2,969	9,050	2,131	2,805	9,050	2,092	2,686
						9,100	2,620	0,109	9,100	2,283	0,063	9,100	2,300	0,322	9,100	2,275	0,402	9,100	2,343	0,129	9,100	2,495	-0,043	9,100	2,484	-0,015	9,100	2,410	0,030	9,100	2,380	0,052	9,100	2,410	0,011	9,100	2,547	0,032	9,100	2,519	-0,048	9,100	2,481	-0,024	9,100	2,503	-0,003	9,100	2,491	-0,026	9,100	2,477	0,066	9,100	2,517	0,052				9,100	2,472	0,039	9,100	2,339	0,073	9,100	2,492	0,039	9,100	2,437	0,053	9,100	2,058	0,357	9,100	2,019	0,427	9,100	2,173	0,316	9,100	2,170	0,223	9,100	2,060	0,272	9,100	2,177	0,240	9,100	2,017	0,611	9,100	2,163	2,848	9,100	2,084	3,409	9,100	2,140	3,366	9,100	2,144	3,203	9,100	2,105	2,924
						9,150	2,703	0,217	9,150	2,298	0,099	9,150	2,315	0,234	9,150	2,290	0,336	9,150	2,357	0,120	9,150	2,510	-0,060	9,150	2,499	0,008	9,150	2,425	0,031	9,150	2,395	0,044	9,150	2,425	-0,030	9,150	2,562	-0,002	9,150	2,533	-0,051	9,150	2,496	-0,036	9,150	2,518	-0,022	9,150	2,505	-0,025	9,150	2,491	0,055	9,150	2,532	0,057				9,150	2,487	0,072	9,150	2,354	0,057	9,150	2,507	0,072	9,150	2,452	0,063	9,150	2,071	0,351	9,150	2,033	0,407	9,150	2,186	0,265	9,150	2,183	0,170	9,150	2,074	0,196	9,150	2,189	0,292	9,150	2,030	0,564	9,150	2,176	3,105	9,150	2,097	3,747	9,150	2,153	3,706	9,150	2,158	3,510	9,150	2,119	3,299
						9,200	2,764	0,141	9,200	2,312	0,063	9,200	2,329	0,222	9,200	2,305	0,308	9,200	2,372	0,044	9,200	2,524	-0,055	9,200	2,514	-0,026	9,200	2,440	0,013	9,200	2,410	0,033	9,200	2,440	-0,019	9,200	2,576	0,026	9,200	2,548	-0,058	9,200	2,510	-0,037	9,200	2,532	-0,014	9,200	2,520	-0,039	9,200	2,506	0,065	9,200	2,546	0,050				9,200	2,501	0,037	9,200	2,369	0,071	9,200	2,521	0,037	9,200	2,467	0,051	9,200	2,085	0,282	9,200	2,046	0,351	9,200	2,199	0,339	9,200	2,196	0,231	9,200	2,087	0,235	9,200	2,203	0,279	9,200	2,044	0,570	9,200	2,189	3,494	9,200	2,111	4,258	9,200	2,166	4,305	9,200	2,171	3,953	9,200	2,132	3,593
						9,250	2,802	0,147	9,250	2,327	0,099	9,250	2,344	0,136	9,250	2,319	0,242	9,250	2,387	0,038	9,250	2,540	-0,066	9,250	2,528	-0,002	9,250	2,455	0,015	9,250	2,424	0,026	9,250	2,454	-0,051	9,250	2,591	-0,007	9,250	2,563	-0,059	9,250	2,525	-0,048	9,250	2,547	-0,031	9,250	2,535	-0,035	9,250	2,520	0,053	9,250	2,561	0,055				9,250	2,516	0,070	9,250	2,383	0,056	9,250	2,536	0,070	9,250	2,481	0,061	9,250	2,098	0,290	9,250	2,059	0,329	9,250	2,212	0,297	9,250	2,209	0,184	9,250	2,100	0,162	9,250	2,215	0,341	9,250	2,057	0,554	9,250	2,202	3,773	9,250	2,124	4,670	9,250	2,179	5,996	9,250	2,184	4,282	9,250	2,145	4,021
						9,300	2,827	0,106	9,300	2,342	0,063	9,300	2,359	0,124	9,300	2,333	0,212	9,300	2,401	-0,020	9,300	2,554	-0,051	9,300	2,543	-0,031	9,300	2,469	-0,002	9,300	2,439	0,016	9,300	2,469	-0,041	9,300	2,606	0,020	9,300	2,577	-0,066	9,300	2,539	-0,048	9,300	2,561	-0,023	9,300	2,549	-0,048	9,300	2,535	0,063	9,300	2,576	0,049				9,300	2,530	0,035	9,300	2,398	0,069	9,300	2,550	0,035	9,300	2,496	0,049	9,300	2,111	0,232	9,300	2,073	0,279	9,300	2,226	0,379	9,300	2,222	0,252	9,300	2,114	0,208	9,300	2,229	0,340	9,300	2,070	0,592	9,300	2,215	4,160	9,300	2,137	5,250	9,300	2,192	4,840	9,300	2,197	4,720	9,300	2,159	4,355
						9,350	2,856	0,148	9,350	2,356	0,100	9,350	2,373	0,048	9,350	2,348	0,148	9,350	2,416	-0,020	9,350	2,569	-0,046	9,350	2,557	-0,001	9,350	2,484	0,001	9,350	2,453	0,009	9,350	2,484	-0,066	9,350	2,620	-0,012	9,350	2,592	-0,065	9,350	2,554	-0,057	9,350	2,576	-0,038	9,350	2,564	-0,044	9,350	2,550	0,050	9,350	2,590	0,053				9,350	2,545	0,068	9,350	2,412	0,053	9,350	2,565	0,068	9,350	2,510	0,058	9,350	2,124	0,250	9,350	2,086	0,266	9,350	2,239	0,343	9,350	2,235	0,211	9,350	2,127	0,141	9,350	2,242	0,409	9,350	2,083	0,607	9,350	2,229	4,393	9,350	2,150	5,694	9,350	2,205	5,071	9,350	2,210	4,990	9,350	2,172	4,820
						9,400	2,907	0,131	9,400	2,371	0,064	9,400	2,388	0,040	9,400	2,363	0,120	9,400	2,431	-0,057	9,400	2,584	0,008	9,400	2,572	-0,018	9,400	2,498	-0,015	9,400	2,468	2,185E-4	9,400	2,498	-0,058	9,400	2,635	0,015	9,400	2,606	-0,071	9,400	2,569	-0,055	9,400	2,591	-0,030	9,400	2,579	-0,056	9,400	2,564	0,061	9,400	2,605	0,047				9,400	2,560	0,033	9,400	2,427	0,067	9,400	2,580	0,034	9,400	2,525	0,047	9,400	2,138	0,204	9,400	2,099	0,227	9,400	2,252	0,433	9,400	2,249	0,288	9,400	2,141	0,190	9,400	2,256	0,414	9,400	2,097	0,674	9,400	2,242	4,680	9,400	2,164	6,284	9,400	2,218	5,376	9,400	2,223	5,307	9,400	2,185	5,169
						9,450	2,935	0,142	9,450	2,386	0,101	9,450	2,403	-0,019	9,450	2,378	0,063	9,450	2,445	-0,055	9,450	2,599	0,081	9,450	2,587	0,040	9,450	2,513	-0,011	9,450	2,483	-0,004	9,450	2,513	-0,077	9,450	2,650	-0,016	9,450	2,621	-0,070	9,450	2,583	-0,064	9,450	2,605	-0,044	9,450	2,593	-0,052	9,450	2,579	0,047	9,450	2,619	0,051				9,450	2,574	0,065	9,450	2,441	0,051	9,450	2,594	0,066	9,450	2,540	0,056	9,450	2,151	0,232	9,450	2,113	0,221	9,450	2,265	0,404	9,450	2,262	0,248	9,450	2,154	0,129	9,450	2,269	0,496	9,450	2,110	0,717	9,450	2,255	4,755	9,450	2,177	6,675	9,450	2,232	5,403	9,450	2,236	5,384	9,450	2,198	5,606
						9,500	2,972	0,127	9,500	2,400	0,064	9,500	2,417	-0,019	9,500	2,392	0,039	9,500	2,460	-0,078	9,500	2,613	0,219	9,500	2,601	0,049	9,500	2,528	-0,025	9,500	2,497	-0,013	9,500	2,528	-0,071	9,500	2,664	0,011	9,500	2,635	-0,076	9,500	2,598	-0,062	9,500	2,620	-0,035	9,500	2,608	-0,062	9,500	2,593	0,057	9,500	2,634	0,046				9,500	2,589	0,031	9,500	2,456	0,065	9,500	2,609	0,032	9,500	2,555	0,045	9,500	2,165	0,194	9,500	2,126	0,188	9,500	2,279	0,499	9,500	2,275	0,337	9,500	2,167	0,181	9,500	2,282	0,507	9,500	2,123	0,815	9,500	2,269	4,850	9,500	2,190	7,129	9,500	2,245	5,483	9,500	2,250	5,479	9,500	2,210	5,863
						9,550	3,007	0,146	9,550	2,415	0,101	9,550	2,432	-0,059	9,550	2,407	-0,003	9,550	2,474	-0,077	9,550	2,628	0,321	9,550	2,616	0,146	9,550	2,543	-0,020	9,550	2,512	-0,016	9,550	2,543	-0,085	9,550	2,679	-0,018	9,550	2,650	-0,074	9,550	2,613	-0,069	9,550	2,634	-0,046	9,550	2,622	-0,057	9,550	2,608	0,039	9,550	2,649	0,049				9,550	2,603	0,063	9,550	2,471	0,048	9,550	2,623	0,065	9,550	2,569	0,054	9,550	2,177	0,231	9,550	2,139	0,189	9,550	2,292	0,481	9,550	2,288	0,302	9,550	2,180	0,124	9,550	2,296	0,601	9,550	2,136	0,886	9,550	2,282	4,728	9,550	2,203	7,292	9,550	2,258	5,423	9,550	2,263	5,335	9,550	2,224	6,140
						9,600	3,024	0,097	9,600	2,430	0,064	9,600	2,446	-0,054	9,600	2,422	-0,018	9,600	2,489	-0,092	9,600	2,643	0,441	9,600	2,630	0,161	9,600	2,557	-0,034	9,600	2,526	-0,024	9,600	2,557	-0,080	9,600	2,694	0,010	9,600	2,665	-0,079	9,600	2,627	-0,065	9,600	2,649	-0,034	9,600	2,637	-0,067	9,600	2,623	0,050	9,600	2,663	0,044				9,600	2,618	0,029	9,600	2,486	0,063	9,600	2,638	0,030	9,600	2,584	0,043	9,600	2,190	0,200	9,600	2,152	0,167	9,600	2,306	0,582	9,600	2,302	0,398	9,600	2,193	0,179	9,600	2,309	0,621	9,600	2,150	1,013	9,600	2,295	4,657	9,600	2,216	7,451	9,600	2,271	5,315	9,600	2,276	5,243	9,600	2,237	6,170
						9,650	3,040	0,127	9,650	2,444	0,102	9,650	2,461	-0,081	9,650	2,436	-0,044	9,650	2,503	-0,091	9,650	2,658	0,506	9,650	2,645	0,259	9,650	2,572	-0,027	9,650	2,541	-0,025	9,650	2,572	-0,091	9,650	2,708	-0,016	9,650	2,680	-0,076	9,650	2,642	-0,071	9,650	2,663	-0,037	9,650	2,652	-0,061	9,650	2,637	0,037	9,650	2,678	0,048				9,650	2,633	0,061	9,650	2,500	0,046	9,650	2,652	0,062	9,650	2,599	0,053	9,650	2,203	0,245	9,650	2,166	0,173	9,650	2,319	0,570	9,650	2,315	0,371	9,650	2,206	0,129	9,650	2,322	0,724	9,650	2,163	1,112	9,650	2,309	4,396	9,650	2,229	7,301	9,650	2,285	5,066	9,650	2,290	4,949	9,650	2,251	6,194
						9,700	3,049	0,085	9,700	2,459	0,065	9,700	2,476	-0,075	9,700	2,450	-0,052	9,700	2,518	-0,102	9,700	2,673	0,597	9,700	2,660	0,259	9,700	2,587	-0,038	9,700	2,555	-0,033	9,700	2,586	-0,087	9,700	2,723	0,019	9,700	2,694	-0,080	9,700	2,656	-0,060	9,700	2,678	-0,007	9,700	2,666	-0,070	9,700	2,652	0,049	9,700	2,693	0,043				9,700	2,647	0,028	9,700	2,514	0,060	9,700	2,667	0,029	9,700	2,613	0,042	9,700	2,216	0,219	9,700	2,179	0,158	9,700	2,332	0,678	9,700	2,328	0,474	9,700	2,219	0,185	9,700	2,335	0,751	9,700	2,176	1,269	9,700	2,322	4,213	9,700	2,242	7,182	9,700	2,298	4,836	9,700	2,303	4,728	9,700	2,264	5,988
						9,750	3,071	0,147	9,750	2,473	0,103	9,750	2,490	-0,096	9,750	2,465	-0,065	9,750	2,533	-0,101	9,750	2,687	0,639	9,750	2,674	0,346	9,750	2,601	-0,027	9,750	2,570	-0,033	9,750	2,601	-0,096	9,750	2,738	0,003	9,750	2,709	-0,071	9,750	2,671	-0,053	9,750	2,693	0,011	9,750	2,681	-0,061	9,750	2,666	0,034	9,750	2,707	0,046				9,750	2,662	0,060	9,750	2,529	0,044	9,750	2,682	0,061	9,750	2,627	0,050	9,750	2,230	0,272	9,750	2,192	0,169	9,750	2,345	0,672	9,750	2,341	0,452	9,750	2,233	0,135	9,750	2,349	0,861	9,750	2,189	1,397	9,750	2,335	3,848	9,750	2,256	6,812	9,750	2,312	4,464	9,750	2,316	4,318	9,750	2,277	5,822
						9,800	3,112	0,161	9,800	2,488	0,065	9,800	2,505	-0,090	9,800	2,480	-0,066	9,800	2,547	-0,108	9,800	2,702	0,716	9,800	2,689	0,336	9,800	2,616	-0,029	9,800	2,585	-0,040	9,800	2,616	-0,092	9,800	2,752	0,057	9,800	2,723	-0,062	9,800	2,686	-0,018	9,800	2,707	0,084	9,800	2,696	-0,066	9,800	2,681	0,046	9,800	2,722	0,042				9,800	2,677	0,027	9,800	2,544	0,059	9,800	2,696	0,027	9,800	2,642	0,040	9,800	2,243	0,256	9,800	2,205	0,160	9,800	2,359	0,786	9,800	2,355	0,564	9,800	2,246	0,198	9,800	2,362	0,880	9,800	2,202	1,583	9,800	2,348	3,583	9,800	2,269	6,516	9,800	2,325	4,130	9,800	2,329	4,009	9,800	2,290	5,471
						9,850	3,177	0,181	9,850	2,502	0,103	9,850	2,519	-0,104	9,850	2,495	-0,061	9,850	2,562	-0,107	9,850	2,717	0,749	9,850	2,704	0,416	9,850	2,631	5,359E-4	9,850	2,599	-0,039	9,850	2,630	-0,100	9,850	2,767	0,050	9,850	2,738	-0,032	9,850	2,700	0,032	9,850	2,722	0,128	9,850	2,710	-0,046	9,850	2,696	0,032	9,850	2,736	0,044				9,850	2,691	0,059	9,850	2,558	0,042	9,850	2,711	0,060	9,850	2,657	0,049	9,850	2,256	0,316	9,850	2,219	0,177	9,850	2,372	0,783	9,850	2,368	0,547	9,850	2,259	0,147	9,850	2,375	0,982	9,850	2,215	1,736	9,850	2,362	3,179	9,850	2,282	5,992	9,850	2,338	3,705	9,850	2,343	3,563	9,850	2,304	5,179
